,nb,highway,position,geometry,check_needed
0,128,A1,201382.077257383,POINT (441013.3571816313 456112.6461115117),False
1,385,A1,24593.3697849115,POINT (593599.9621896219 476209.6463992175),False
2,259,A1,224796.671849657,POINT (420488.6420546853 450327.3538533028),False
3,137,A1,229207.283776298,POINT (416210.3239609336 450775.1985212988),False
4,265,A1,260598.977401022,POINT (396557.3058690598 438233.5194673681),False
5,144,A1,241211.861886455,POINT (407913.8823478951 443767.9151525967),False
6,272,A1,269357.220571851,POINT (388238.820105152 439119.3822390828),False
7,403,A1,35682.7037384958,POINT (583743.7763229391 479107.6713188444),False
8,277,A1,286529.907373541,POINT (374208.6007608552 433403.3858902366),False
9,409,A1,41426.8476316082,POINT (578024.9312605037 479083.2950367955),False
10,4122,A1,163733.562407036,POINT (469391.8513989054 479007.6740576555),False
11,286,A1,283582.023043252,POINT (375722.3384103139 435925.3969522603),False
12,415,A1,47281.1526506552,POINT (572426.6006703391 477867.9577098853),False
13,5022,A1,291115.90010464,POINT (372024.7570702112 430007.9242142811),False
14,423,A1,40735.3582759522,POINT (578715.720655236 479114.2716841407),False
15,431,A1,86647.9782429259,POINT (537161.1369427266 476263.9763155412),False
16,305,A1,284453.689878986,POINT (375222.7788957349 435212.8149998816),False
17,439,A1,118863.213199248,POINT (507612.1678786849 469838.5990094481),False
18,955,A1,8125.64005771649,POINT (608659.0588004531 478740.1910644548),False
19,961,A1,68729.7879925998,POINT (551801.2842266524 479525.9140772127),False
20,450,A1,144728.939138705,POINT (486457.9099437676 478543.2385671383),False
21,977,A1,95921.979794113,POINT (528877.3031570743 472529.4476405613),False
22,978,A1,147274.456011379,POINT (483950.3786164476 478954.7663550892),False
23,82,A1,280794.277412275,POINT (378345.4580691092 436808.1280382979),False
24,983,A1,108149.544956194,POINT (517282.6972654003 473119.6042149587),False
25,991,A1,123870.454227647,POINT (502725.4302339921 469422.7135373614),False
26,483,A1,175108.059243753,POINT (460737.7515482609 472316.4529668667),False
27,999,A1,137219.251834734,POINT (491232.9299588909 473479.322974705),False
28,492,A1,275983.369289368,POINT (381741.7138987377 439083.0266793048),False
29,110,A1,165288.630725153,POINT (468117.9095149512 478116.4760824501),False
30,751,A1,18037.0666914381,POINT (599494.8383991778 477037.7297906691),False
31,754,A1,29504.1436071901,POINT (589537.0711373462 477507.6494828162),False
32,120,A1,185830.914484372,POINT (453632.01794831 464354.9860745959),False
33,507,A1,155635.386800321,POINT (476461.7156867516 482340.5004601687),False
34,253,A1,211383.836048351,POINT (432555.3139753837 452815.206822969),False
35,323,A10,56216.7788368587,POINT (403236.1792312884 391452.1699233856),False
36,605,A10,120197.629857391,POINT (421001.2204230672 337831.3696209269),False
37,613,A10,140072.322550199,POINT (413776.8855387386 323336.8248413595),False
38,297,A10,27045.2197391419,POINT (387138.4542053328 408703.6949406079),False
