Unnamed: 0,highway,name,asfinag_position,asfinag_type,direction,osm_id,osm_name
154.0,A2,'Sternberg/Süd',349.01,2,1,527576785,Parkplatz Sternberg Süd
157.0,A2,'Federaun/Süd',362.78,2,1,527631020,P363 Parkplatz Federaun Süd
158.0,A2,'Dreiländereck Süd',374.17,0,2,527576785,Parkplatz Sternberg Süd
159.0,A2,'Dreiländereck Nord',374.27,0,2,527631024,
168.0,A21,'Alland',14.68,0,2,892039574,Raststation Alland
169.0,A21,'Dornbach',19.96,2,1,895955600,Parkplatz Dornbach
171.0,A21,'Sparbach',26.99,2,1,93323594,Parkplatz Hinterbühl
173.0,A22,'Korneuburg West',18.04,0,1,54893726,Raststation Korneuburg
175.0,A22,'Stockerau',28.09,0,1,433012188,Raststation Stockerau
177.0,A25,'Sinnersdorf/Süd',6.11,2,1,532567872,Sinnersdorf Süd
179.0,A25,'Wels',13.06,0,2,311913080,
180.0,A3,'Hornstein',28.0,0,2,373807312,Raststation Hornstein
183.0,A4,'Maria Ellend',22.48,1,1,157107388,Rastplatz Maria Ellend
184.0,A4,'Göttlesbrunn',28.04,0,2,525427828,Raststation Göttlesbrunn
185.0,A4,'Parndorf',46.23,2,1,666371706,Rastplatz Parndorf
188.0,A4,'Nickelsdorf Nord',64.97,0,1,342598795,Raststation Nickelsdorf Nord
191.0,A5,'Hochleithen',10.63,0,2,42217069,Raststation Hochleithen
192.0,A6,'Potzneusiedl',10.8,0,2,46158787,Rastplatz Potzneusiedl
194.0,A7,'Engerwitzdorf',25.71,1,1,189919127,Rastplatz Engerwitzdorf
196.0,A8,'Voralpenkreuz',0.17,0,2,47030388,Voralpenkreuz
197.0,A8,'Oberham/Süd',16.76,2,1,532884401,Parkplatz Oberham Süd
199.0,A8,'Schnittering/Süd',20.68,2,1,532884396,
201.0,A8,'Aistersheim',33.81,0,2,245596053,Raststation Aistersheim
203.0,A8,'Renhartsberg',44.47,2,1,376944509,Parkplatz Renhartsberg
204.0,A8,'Grübl/Süd’,49.59,2,1,81305328,Grübl Süd
205.0,A8,'Murau West',56.77,1,1,189139727,Rastplatz Murau West
207.0,A8,'Marienkirchen/Schärding’,71.6,1,1,533009640,Rastplatz St.Marienkirchen
209.0,A8,'Suben West',74.77,0,1,533020665,Raststation Suben
0.0,A9,'Maisdorf/Ost',12.66,2,1,376804458,Parkplatz Maisdorf/Ost
2.0,A9,'St. Pankraz',36.36,0,2,376804460,312364347
3.0,A9,'Pyhrn-Priel Ost’,55.03,1,1,691535511,Rastplatz Pyhrn-Priel Ost
5.0,A9,'Ardning Ost',65.96,2,1,376715079,Rastplatz Ardning Ost
7.0,A9,'Rottenmann/Nord',77.91,2,1,376715082,
9.0,A9,'Trieben',85.7,0,2,94441558,Raststation Trieben
10.0,A9,'Gaishorn',92.11,1,1,94440598,Rastplatz Gaishorn
13.0,A9,'Kammern Nord',121.18,2,1,950302829,
14.0,A9,'Kammern Süd',121.26,0,2,94438967,Raststation Kammern
16.0,A9,'Ortnerhof Nord',135.65,2,1,664756708,
19.0,A9,'Hinterlainsach/West',139.3,2,1,664756706,
21.0,A9,'Übelbach 1',154.16,2,1,664756052,Übelbach I
23.0,A9,'Deutschfeistritz',161.95,0,2,235790130,Raststation Deutschfeistritz
25.0,A9,'Feldkirchen',186.97,2,1,96572678,
27.0,A9,'Thalerhof',196.52,2,1,664741198,Parkplatz Thalerhof
29.0,A9,'Gralla Ost',211.45,0,1,193064709,Raststation Gralla Ost
31.0,A9,'Straß Ost’,225.02,2,1,314046999,Rastplatz Straß Ost 
244.0,S16,'Schnann',18.9,0,2,896823217,Raststation Schnann
245.0,S16,'Klösterle',44.17,0,1,126215501,Raststation Klösterle
247.0,S16,'Radin Süd',59.01,2,1,782870539,Parkplatz Radin
250.0,S3,'Hollabrunn',23.6,2,1,264561229,Rastplatz Hollabrunn
251.0,S31,‘Mattersburg’,52.09,2,1,913221918,
