Unnamed: 0,highway,name,asfinag_position,asfinag_type,direction,osm_id,osm_name,centroid,dist_along_highway
129,A2,'Loipersdorf',105.5,0,2,192927910,Raststation Loipersdorf,POINT (606100.3011752106 385009.4386134488),105622.148155292
131,A2,'St. Johann/Nord',113.24,2,0,525858856,P113,POINT (604971.14603563 378493.8247382877),113233.643056353
132,A2,'Hainersdorf',133.87,1,0,525878305,Rastplatz Hainersdorf,POINT (601083.218354068 361095.5815844694),133858.629815434
134,A2,'Arnwiesen',154.1,0,2,140439861,Raststation Arnwiesen,POINT (584815.6945069765 359017.6639889878),154027.591129845
135,A2,'Laßnitzhöhe Nord',170.16,1,0,525963518,Rastplatz Laßnitzhöhe-Nord,POINT (570822.2967376324 354091.4658410492),170265.381017141
137,A2,'Kaiserwald',190.77,0,2,192901592,Raststation Kaiserwald,POINT (555990.9359950811 342071.0291058678),190811.98043951
138,A2,'Herzogberg Nord',220.13,1,0,193468416,Rastplatz Herzogberg Nord,POINT (534021.3825995264 342554.1485492085),220248.196603865
140,A2,'Pack',235.21,0,2,207488228,Raststation Pack Preitenegg,POINT (520193.4766166944 341117.7951351135),235315.764538704
142,A2,'Twimberg Nord',242.44,2,0,526830760,Rastplatz Twimberg Nord,POINT (514921.9528572539 337722.4353467271),242509.803050667
144,A2,'St. Ändra',262.91,2,0,526850263,Parkplart Sankt Andrä,POINT (513196.7727531045 318766.4771180848),262955.564385614
146,A2,'Gönitz/Nord',268.89,2,0,527026750,Parkplatz Gönitz Nor,POINT (510682.1791903474 313759.070263938),268950.328363809
147,A2,'Haimburg Nord',279.17,2,0,527042440,Parkplatz Haimburg Nord,POINT (502292.7816052746 310179.8495204826),279134.371458674
148,A2,'Völkermarkt',285.09,0,2,47029582,Raststätte Völkermarkt,POINT (496555.3319714307 309690.5901621991),285005.731557368
149,A2,'Grafenstein Nord',300,1,0,398982039,Grafenstein Nord,POINT (484620.387659362 305140.8658585658),299840.502393441
151,A2,'Krumpendorf/Nord',329.28,2,0,527233259,Parkplatz Krumpendorf Nord,POINT (468286.3644425684 303657.2035560734),319007.818757861
153,A2,'Wörthersee',340.13,0,2,324036372,Raststation Wörthersee,POINT (458349.9997587008 303666.2358118318),329838.353526062
155,A2,'Sternberg/Nord',349.03,2,0,527576786,Parkplatz Sternberg Nord,POINT (449825.1520226449 302412.4533868213),338742.74377299
156,A2,'Federaun/Nord',361.73,2,0,527631024,,POINT (439216.0674886806 298092.1657742577),351427.395415953
158,A2,'Dreiländereck Süd',374.17,0,2,802147800,Rastplatz Dreiländereck Süd,POINT (428015.7321372766 296729.4447019593),363852.388836953
159,A2,'Dreiländereck Nord',374.27,0,2,802147801,Rastplatz Dreiländereck Nord,POINT (427929.2750915801 296865.8450132926),363908.232330081
168,A21,'Alland',14.68,0,2,892039574,Raststation Alland,POINT (603624.3526028101 467027.472407522),23575.1679741444
170,A21,'Hinterbrühl',26.99,1,0,286175682,Rastplatz Hinterbrühl,POINT (613765.5647299936 467564.8900480742),11277.2684833336
174,A22,'Korneuburg Ost',18.12,0,0,54893726,Raststation Korneuburg,POINT (621303.8763335195 498539.7127567021),18079.0228920398
176,A25,'Pucking',5.97,1,0,532567871,Rastplatz Pucking Nord,POINT (461267.5860737208 476673.0289561879),5862.77553580224
179,A25,'Wels',13.06,0,2,311913080,,POINT (455024.5227129348 476999.8729279457),12938.2615663518
180,A3,'Hornstein',28,0,2,373807312,Raststation Hornstein,POINT (630409.3244350143 446660.2082495076),19180.6319530819
181,A4,'Simmering',2.45,0,0,478125158,Raststation Simmering,POINT (631279.0016764031 480453.7891075072),3146.2697771734
