Unnamed: 0,highway,name,asfinag_position,asfinag_type,direction,osm_id,osm_name,centroid,dist_along_highway,traffic_flow,energy_demand
0.0,A1,'Parkplatz Großraum’,27.42,2,2,47029834,Großram,POINT (598918.172416926 477113.1170866974),18630.86849194398,13297.00000000001,14541.089445096624
1.0,A1,'Steinhäusl',32.7,0,2,187691678,Steinhäusl,POINT (594053.7768457728 476412.5414740073),24098.67681152607,31709.9999999998,77129.62227259565
2.0,A1,'Kesselhof',44.88,1,1,228287045,Kesselhof,POINT (583164.4383275693 479070.144500346),36260.395870592,30234.999996719125,109130.9556998184
4.0,A1,'St. Pölten',62.9,0,2,47029995,St. Pölten,POINT (565411.8660079052 477639.9632115253),54307.51935523901,35565.0,99032.43203384093
5.0,A1,'Schallaburg',76.81,1,1,210456429,Schallaburg,POINT (552213.9791297226 479236.2870033564),68230.25688284212,29188.0,136934.36037638842
8.0,A1,'Ybbs',100.32,0,1,322544067,Ybbs,POINT (532437.2852403207 474761.1866661229),91687.56131897827,27161.404450838774,104129.25066774737
11.0,A1,'Amstetten',119.36,1,1,69744600,Amstetten,POINT (514590.5665525703 472942.103187678),110856.16706177368,25407.0,56128.53142796268
13.0,A1,'Oed',130.52,2,1,895761070,Oed,POINT (504675.7868177567 469666.8035950668),121902.04643123144,26849.692063066555,69822.67372138261
15.0,A1,'Haag',143.54,0,1,79589948,Haag,POINT (492792.9087994206 471806.3395010391),134904.5556513331,28172.0,72532.38382040545
18.0,A1,'Enns Süd',156.19,1,1,523633273,Enns Süd,POINT (483455.8217990267 479027.1095450164),147777.689227296,29648.737115098505,86236.69930607454
20.0,A1,'Ansfelden Süd',170.93,0,1,35323435,Ansfelden Süd,POINT (470626.1716849853 479704.6766880775),162320.75373815486,46681.64620523784,108599.64670259577
22.0,A1,'Allhaming Süd',182.59,1,1,322545858,Allhaming Süd,POINT (461489.6777927409 473202.3523929474),173952.69643198498,22273.000000000004,132032.00498622246
25.0,A1,'Lindach Süd',212.27,0,1,531736196,Lindach Süd,POINT (438804.2702841595 456202.8899055603),203592.17135368893,24205.0,88500.71292866129
26.0,A1,'Hainbach Süd',230.7,1,1,160829032,Hainbach Süd,POINT (423314.3008876345 450793.6821045476),221873.6654517392,16641.0,43626.88664049066
28.0,A1,'Straß',243.67,1,1,531252283,Straß,POINT (412591.0839382739 446878.1366058033),234981.9181530464,16828.674835497062,52286.93331258196
31.0,A1,'Mondsee',259.23,0,2,47030500,Mondsee,POINT (404661.7156957533 437484.534727912),250516.98963778745,15333.00079944841,35129.25494322937
33.0,A1,'Vetterbach',270.63,2,1,322888608,,POINT (395183.3308279748 438204.9622184667),261972.4299011484,18111.0,24972.458720103332
35.0,A1,'Salzburger Vorland',277.55,2,1,530994135,Salzburger Vorland,POINT (388715.2579772896 438983.0551610399),268866.709267308,21776.0,38740.092831870716
37.0,A1,'Söllheim',286.46,0,1,67810341,Söllheim,POINT (380836.8763759326 437773.3496392902),277761.8444693356,28864.53746412181,82339.63927518326
39.0,A1,'Walserberg Süd',300.71,0,1,322551672,Walserberg Süd,POINT (371117.9378952289 429913.6343266661),292024.9587453794,14880.00000000295,866.4299233484943
42.0,A10,'Untersberg/Ost',4.37,2,1,893773171,,POINT (375718.8865037689 428543.0007576903),1898.0363624747013,30061.000000000004,
43.0,A10,'Bruderloch',17.53,2,1,191364532,Rastplatz Bruderloch,POINT (384281.7510483056 419954.8239867149),15039.738222152006,24652.0,
44.0,A10,'Golling Ost',28.76,0,1,200300459,Raststation Golling Ost,POINT (386826.7011905757 409460.0579631454),26224.385284414508,19647.000947720997,
48.0,A10,'Klausgraben Ost’,50.01,2,1,185872906,,POINT (395266.1611302294 392742.7037682212),47504.98251388223,16076.0,
49.0,A10,'Eben Süd',59.21,0,2,404477042,Raststation Eben-Süd,POINT (403740.1447232449 391218.4347725328),56778.02700212305,15293.16167231109,
50.0,A10,'Eben Nord',59.32,0,2,404477039,Raststation Eben-Nord,POINT (403770.5792237686 391334.4426845374),56754.90327219965,15319.983974921792,
52.0,A10,'Tauernalm',79.79,0,2,200145931,Raststation Tauernalm,POINT (407008.1463603936 372061.4315096087),77278.92186222805,10619.213162511443,
54.0,A10,'Lanschütz',100.6,1,1,529488602,Lanschütz,POINT (418583.0685941336 357606.7125466375),98049.1739721768,10558.5,
56.0,A10,'Ried’,116.47,2,1,579663993,Parkplatz Ried,POINT (421999.730530755 343883.4747392475),113909.24397676944,7303.0,
57.0,A10,'Eisentratten',125.92,0,2,404473862,Raststation Eisentratten,POINT (418830.9453438835 335556.5502592363),123333.65134928688,7303.0,
58.0,A10,'Seeboden',141.72,2,1,450117702,,POINT (412975.6229934532 323756.9880422672),139165.05238586848,14455.0,
60.0,A10,'Kamering',154.29,2,1,894068048,Parkplatz Kamering,POINT (420547.8402652538 314722.316202654),151671.57758871172,14749.703862513725,
61.0,A10,'Feistritz an der Drau',162.01,0,2,894093001,Raststation Feistritz,POINT (425806.2178627966 309419.4194663895),159366.18224840498,14750.0,
62.0,A11,'St. Niklas/Nord',2.11,2,1,528526630,Parkplatz St. Niklas Nord,POINT (445558.1419645398 301212.7931256008),2126.475415772853,7502.999999999998,
63.0,A11,'Rosegg',9.04,0,2,528652488,Rosegg,POINT (451138.4931818426 297968.0198626479),9063.091536941663,4802.0,
