,Unnamed: 0,nb,highway,position,geometry,check_needed
0,0,128,A1,201382.077257383,POINT (441013.3571816313 456112.6461115117),False
1,1,385,A1,24593.3697849115,POINT (593599.9621896219 476209.6463992175),False
2,2,259,A1,224796.671849657,POINT (420488.6420546853 450327.3538533028),False
3,3,137,A1,229207.283776298,POINT (416210.3239609336 450775.1985212988),False
4,4,265,A1,260598.977401022,POINT (396557.3058690598 438233.5194673681),False
5,5,144,A1,241211.861886455,POINT (407913.8823478951 443767.9151525967),False
6,6,272,A1,269357.220571851,POINT (388238.820105152 439119.3822390828),False
7,7,403,A1,35682.7037384958,POINT (583743.7763229391 479107.6713188444),False
8,8,277,A1,286529.907373541,POINT (374208.6007608552 433403.3858902366),False
9,9,409,A1,41426.8476316082,POINT (578024.9312605037 479083.2950367955),False
10,10,4122,A1,163733.562407036,POINT (469391.8513989054 479007.6740576555),False
11,11,286,A1,283582.023043252,POINT (375722.3384103139 435925.3969522603),False
12,12,415,A1,47281.1526506552,POINT (572426.6006703391 477867.9577098853),False
13,13,5022,A1,291115.90010464,POINT (372024.7570702112 430007.9242142811),False
14,14,423,A1,40735.3582759522,POINT (578715.720655236 479114.2716841407),False
15,15,431,A1,86647.9782429259,POINT (537161.1369427266 476263.9763155412),False
16,16,305,A1,284453.689878986,POINT (375222.7788957349 435212.8149998816),False
17,17,439,A1,118863.213199248,POINT (507612.1678786849 469838.5990094481),False
18,18,955,A1,8125.64005771649,POINT (608659.0588004531 478740.1910644548),False
19,19,961,A1,68729.7879925998,POINT (551801.2842266524 479525.9140772127),False
20,20,450,A1,144728.939138705,POINT (486457.9099437676 478543.2385671383),False
21,21,977,A1,95921.979794113,POINT (528877.3031570743 472529.4476405613),False
22,22,978,A1,147274.456011379,POINT (483950.3786164476 478954.7663550892),False
23,23,82,A1,280794.277412275,POINT (378345.4580691092 436808.1280382979),False
24,24,983,A1,108149.544956194,POINT (517282.6972654003 473119.6042149587),False
25,25,991,A1,123870.454227647,POINT (502725.4302339921 469422.7135373614),False
26,26,483,A1,175108.059243753,POINT (460737.7515482609 472316.4529668667),False
27,27,999,A1,137219.251834734,POINT (491232.9299588909 473479.322974705),False
28,28,492,A1,275983.369289368,POINT (381741.7138987377 439083.0266793048),False
29,29,110,A1,165288.630725153,POINT (468117.9095149512 478116.4760824501),False
30,30,751,A1,18037.0666914381,POINT (599494.8383991778 477037.7297906691),False
31,31,754,A1,29504.1436071901,POINT (589537.0711373462 477507.6494828162),False
32,32,120,A1,185830.914484372,POINT (453632.01794831 464354.9860745959),False
33,33,507,A1,155635.386800321,POINT (476461.7156867516 482340.5004601687),False
34,34,253,A1,211383.836048351,POINT (432555.3139753837 452815.206822969),False
35,35,323,A10,56216.7788368587,POINT (403236.1792312884 391452.1699233856),False
36,36,605,A10,120197.629857391,POINT (421001.2204230672 337831.3696209269),False
37,37,613,A10,140072.322550199,POINT (413776.8855387386 323336.8248413595),False
38,38,297,A10,27045.2197391419,POINT (387138.4542053328 408703.6949406079),False
39,39,330,A10,58691.317370468,POINT (404603.7096707129 389626.3234886876),False
40,40,269,A10,8486.79131233295,POINT (381582.3206595097 425677.9147533895),False
41,41,303,A10,36042.7882100305,POINT (388446.3357166317 400183.5590308471),False
42,42,336,A10,67779.4929264581,POINT (404706.559127715 380803.6503721347),False
43,43,625,A10,2454.00040636517,POINT (376072.8015953265 428118.5026489716),False
44,44,623,A10,162969.356795281,POINT (429028.3081308736 307851.8301171241),False
45,45,570,A10,132161.171388355,POINT (413154.058305105 329737.4376456648),False
46,46,309,A10,40348.0228116126,POINT (390197.1436208533 396396.2886246553),True
47,47,631,A10,47624.4769385876,POINT (395382.3713635009 392695.2048980039),True
48,48,314,A10,22465.6334568125,POINT (385438.8802102475 412900.7898008027),False
49,49,317,A10,237515.891066104,POINT (443645.1252545145 302112.7647789142),False
50,50,285,A10,16861.624864002,POINT (384780.9916426098 418202.2727991944),False
51,51,639,A10,86725.6492257626,POINT (409313.7185184769 363602.236775133),False
52,52,632,A11,8040.69030637252,POINT (450263.754002638 298506.2654104746),False
53,53,7140,A11,20636.4770806442,POINT (452061.5325158493 287579.4175225829),False
54,54,70,A11,1366.84757295105,POINT (444882.1975578559 301562.6882517891),False
55,55,382,A12,141531.281880123,POINT (195589.6053172013 368599.2909067136),False
56,56,644,A12,88572.6422021416,POINT (242398.3674885077 375701.2867040816),False
57,57,518,A12,76905.0007451776,POINT (253269.2425477454 374313.24066836),False
58,58,650,A12,93845.2054191115,POINT (237955.3555024843 378286.8746306626),False
59,59,656,A12,98876.3098087884,POINT (233461.6314036885 380100.7314418065),False
60,60,662,A12,107151.128688687,POINT (226249.2933663498 379814.8460215694),False
61,61,152,A12,34602.0505584902,POINT (288608.5503663732 392526.0773405972),False
62,62,668,A12,118164.590864273,POINT (215886.7946573257 377035.9619884691),False
63,63,674,A12,126289.726151502,POINT (209339.8891771865 372602.6981378941),False
64,64,164,A12,45644.1284532895,POINT (279748.8749619065 387067.5316398072),False
65,65,172,A12,50310.3224642552,POINT (276032.454838538 384543.8379711985),False
66,66,557,A12,83473.9696210904,POINT (247372.5308569354 375830.1804093988),False
67,67,8126,A12,132452.223315211,POINT (203437.7355518996 371881.7465231691),True
68,68,464,A12,65638.9987655567,POINT (263891.2833908966 376974.4873390892),False
69,69,87,A12,24890.9946722036,POINT (296620.5009350292 397651.8031288211),False
70,70,96,A12,4278.6113667641,POINT (311084.1420770679 409711.7051784634),False
71,71,103,A12,6782.43190640758,POINT (309925.4844363231 407494.3093919861),False
72,72,8046,A12,58084.5911541157,POINT (270264.7664248798 380046.2497398417),False
73,73,495,A12,71612.1555233863,POINT (258204.8092765292 375701.6824818851),False
74,74,122,A12,18663.0406481101,POINT (302520.2232900344 399273.7975298804),False
75,75,638,A12,527.24297373278,POINT (313914.2705700078 412104.5539323566),False
76,76,307,A13,28568.7599853627,POINT (259252.5491370226 351145.0883010305),False
77,77,287,A13,25582.4799057482,POINT (259394.4736031134 354074.0014062168),False
78,78,8045,A13,15385.923393972,POINT (256772.520360662 363192.4218137807),False
79,79,183,A13,5278.50177207566,POINT (253171.7832478396 370812.3103658898),False
80,80,578,A14,27070.4878791537,POINT (120893.4238147535 389766.9791285607),False
81,81,709,A14,59836.7970387979,POINT (133797.7483105701 366592.870753897),False
82,82,710,A14,2025.17626222045,POINT (131128.7962988314 410515.2223171609),False
83,83,550,A14,1006.25357507798,POINT (130237.5491646068 411007.2914562981),False
84,84,584,A14,32949.4023607327,POINT (119790.5058015607 384157.2261402197),False
85,85,714,A14,20585.9207840668,POINT (124837.2063580116 394737.0318662163),False
86,86,559,A14,11188.9035771093,POINT (128991.2628902361 402593.5825780738),False
87,87,560,A14,37019.8527872015,POINT (119576.3300161116 380174.0424531581),False
88,88,596,A14,57448.3468462413,POINT (132253.8791176862 368361.2364693025),False
89,89,566,A14,53103.8274373046,POINT (128561.1508317509 370267.0223463512),False
90,90,697,A14,13429.9903582202,POINT (127905.4883855131 400889.6609472883),False
91,91,602,A14,58531.3010676167,POINT (133049.4352817757 367657.6758726389),True
92,92,572,A14,24812.9998027065,POINT (122234.1332776312 391516.27404218),False
93,93,703,A14,30219.767021914,POINT (119835.7233794512 386830.9842569959),False
94,94,387,A2,191869.172567214,POINT (555145.2048316326 341389.8023185512),False
95,95,517,A2,52873.9273808423,POINT (612725.8158006254 430476.9098031272),False
96,96,394,A2,25224.5119928223,POINT (616550.3448162489 456090.961872218),False
97,97,11,A2,67533.284691004,POINT (610364.9888499125 417315.2585370864),False
98,98,395,A2,203201.577945044,POINT (545427.445802003 342531.0895828189),False
99,99,273,A2,11936.040332108,POINT (624140.0420744632 466057.5510069995),False
100,100,530,A2,236599.775901794,POINT (518999.1244079749 340645.7869553089),False
101,101,534,A2,242300.17054083,POINT (515028.2891390504 337906.7294013683),True
102,102,542,A2,259641.759079315,POINT (513040.377298319 322014.028706589),False
103,103,543,A2,34280.410150764,POINT (614812.8034086766 447438.3701962694),False
104,104,551,A2,268544.908895978,POINT (511039.7575088278 313955.1513587239),False
105,105,558,A2,283487.212456313,POINT (498128.9788346657 309537.6173311833),False
106,106,563,A2,301778.486186789,POINT (482802.77851111 305683.530344634),False
107,107,54,A2,334479.775681173,POINT (453959.5233769048 302767.5876847276),False
108,108,569,A2,319585.27437945,POINT (467727.0002920015 303720.2772099815),False
109,109,828,A2,150737.982820414,POINT (588008.8197547441 358514.331070538),False
110,110,60,A2,343485.891003007,POINT (445246.6525655205 302868.3197974875),False
111,111,190,A2,2142.13243067463,POINT (623165.8861992988 475415.1946728199),False
112,112,318,A2,15991.4857825258,POINT (623395.6342421592 462181.2612036871),True
113,113,576,A2,322405.82977212,POINT (465184.0460955179 303635.5850785692),False
114,114,581,A2,346017.158967675,POINT (443135.5751724429 301591.2551671221),False
115,115,585,A2,330358.058719043,POINT (457864.7859525385 303461.0098970071),False
116,116,588,A2,360909.467008231,POINT (430878.1088786292 296331.9372030951),False
117,117,591,A2,338372.842400611,POINT (450154.1541938077 302248.6939675155),False
118,118,595,A2,369625.413538521,POINT (424435.365876161 293267.060988325),False
119,119,212,A2,313373.763241409,POINT (472390.5324315617 306708.4743731699),False
120,120,858,A2,170001.69645392,POINT (571066.7604862157 353973.1932004026),False
121,121,348,A2,121302.101666711,POINT (601524.5282712078 373240.2587581953),False
122,122,480,A2,182779.939816848,POINT (560767.9760075428 347969.6112385808),False
123,123,354,A2,131573.05650971,POINT (601382.7903939773 363350.8575806756),False
124,124,615,A2,83946.6957911431,POINT (609266.1267461146 404434.7900310615),False
125,125,361,A2,144140.038416924,POINT (594202.7243656134 356556.7864558765),False
126,126,505,A2,45470.9463147598,POINT (614897.9452651719 436961.0025788516),False
127,127,877,A2,184239.293260619,POINT (559456.4433364366 347329.6266530652),False
128,128,242,A2,6003.25294590191,POINT (622372.3407375128 471648.2814010154),False
129,129,244,A2,105817.15168687,POINT (606149.9339980599 384807.6520756498),True
130,130,373,A2,159209.429993093,POINT (580266.1593740664 358110.4333509056),False
131,131,886,A2,186799.185586742,POINT (557423.8395480013 345828.8903290639),False
132,132,633,A2,98313.6143651872,POINT (607514.374215778 391724.2380763197),False
133,133,417,A21,22949.2615963462,POINT (603897.5561665248 466446.4272468394),False
134,134,396,A21,35525.9637529156,POINT (596814.8481385586 474336.5590417964),False
135,135,720,A21,10000.0,POINT (614537.5756140689 468584.9865281238),False
136,136,411,A21,14329.3754963586,POINT (611141.3458839774 466857.1772033046),False
137,137,763,A21,553.433916502291,POINT (622104.4767723386 473370.0227479388),False
138,138,421,A22,11813.8264143879,POINT (623905.9321265663 493020.5815460618),False
139,139,742,A22,8417.23302677104,POINT (625669.6637899235 490118.6066505293),False
140,140,775,A22,5862.20481590283,POINT (627021.5965242414 487951.6590475508),False
141,141,39,A22,22740.5905766141,POINT (617773.2111684043 501213.6786097212),False
142,142,907,A22,3668.74715432919,POINT (628382.4811187846 486232.7020279308),False
143,143,798,A22,28487.6062200245,POINT (612145.4762290573 501893.3282925044),False
144,144,785,A22,17314.3132020883,POINT (621627.9399066544 497847.7302140648),False
145,145,793,A22,26567.0228414095,POINT (614006.306161158 501655.1454859226),False
146,146,734,A22,348.452158017536,POINT (630713.2561655174 483872.8011879192),False
147,147,778,A25,14463.0024419196,POINT (453529.6791953074 477167.7262884462),False
148,148,243,A25,17672.778501727,POINT (450533.3951719322 476181.0990765509),False
149,149,772,A25,4196.27791095804,POINT (462794.2813948461 477324.2440347243),False
150,150,231,A25,12589.4334803752,POINT (455384.7538244994 477018.6368532293),False
151,151,524,A3,9421.06124585226,POINT (626471.6087907702 455194.5621642825),True
152,152,526,A3,26315.254826501,POINT (634559.3804640225 441318.1080749122),False
153,153,55,A3,17080.5593614878,POINT (630282.6253832517 448761.8831130316),False
154,154,67,A4,55191.3665771158,POINT (671716.672409556 455220.5551398725),False
155,155,136,A4,11942.3188998706,POINT (637875.5269268199 475538.5287146493),False
156,156,75,A4,65552.430970846,POINT (681319.710523929 454453.0065348873),True
157,157,47,A4,5121.99139470936,POINT (632381.1482014187 479001.5221903187),False
158,158,17,A4,26745.7604624845,POINT (650081.4388892753 468621.8244489165),False
159,159,61,A4,43415.4864943544,POINT (661306.5670669379 459865.6860826653),False
160,160,980,A4,14601.4703087317,POINT (640424.8126557291 474922.8107271885),False
161,161,86,A4,2761.62546641466,POINT (630933.6998733247 480627.9013158819),False
162,162,23,A4,34620.7722812353,POINT (657333.0054349946 466022.4608182415),False
163,163,29,A4,37470.1182149731,POINT (660052.5017437438 465185.8186336463),False
164,164,479,A4,61398.9132259231,POINT (677475.3982980448 453255.4432380536),False
165,165,35,A5,1247.22890493279,POINT (633433.1593525347 500805.1144751448),False
166,167,390,A5,21045.4473302022,POINT (641863.6527578371 517325.0771969447),False
167,168,437,A5,26294.597680991,POINT (643483.2113929392 522025.8619544283),False
168,169,443,A5,44570.7498930205,POINT (644688.1862690056 536999.5733787542),False
