Unnamed: 0,highway,name,asfinag_position,asfinag_type,direction,osm_id,osm_name,centroid,dist_along_highway
144.0,A2,'St. Ändra',262.91,2,0,526850263,Parkplart Sankt Andrä,,
146.0,A2,'Gönitz/Nord',268.89,2,0,527026750,Parkplatz Gönitz Nor,,
147.0,A2,'Haimburg Nord',279.17,2,0,527042440,Parkplatz Haimburg Nord,,
148.0,A2,'Völkermarkt',285.09,0,2,47029582,Raststätte Völkermarkt,,
149.0,A2,'Grafenstein Nord',300.0,1,0,398982039,Grafenstein Nord,,
151.0,A2,'Krumpendorf/Nord',329.28,2,0,527233259,Parkplatz Krumpendorf Nord,,
153.0,A2,'Wörthersee',340.13,0,2,324036372,Raststation Wörthersee,,
155.0,A2,'Sternberg/Nord',349.03,2,0,527576786,Parkplatz Sternberg Nord,,
156.0,A2,'Federaun/Nord',361.73,2,0,527631024,,,
158.0,A2,'Dreiländereck Süd',374.17,0,2,802147800,Rastplatz Dreiländereck Süd,,
159.0,A2,'Dreiländereck Nord',374.27,0,2,802147801,Rastplatz Dreiländereck Nord,,
168.0,A21,'Alland',14.68,0,2,892039574,Raststation Alland,,
170.0,A21,'Hinterbrühl',26.99,1,0,286175682,Rastplatz Hinterbrühl,,
174.0,A22,'Korneuburg Ost',18.12,0,0,54893726,Raststation Korneuburg,,
176.0,A25,'Pucking',5.97,1,0,532567871,Rastplatz Pucking Nord,,
179.0,A25,'Wels',13.06,0,2,311913080,,,
180.0,A3,'Hornstein',28.0,0,2,373807312,Raststation Hornstein,,
181.0,A4,'Simmering',2.45,0,0,478125158,Raststation Simmering,,
182.0,A4,'Fischamend',22.33,1,0,157107389,Rastplatz Fischamend,,
184.0,A4,'Göttlesbrunn',28.04,0,2,525427828,Raststation Göttlesbrunn,,
186.0,A4,'Neusiedl',47.01,2,0,666371707,Rastplatz Neusiedl,,
187.0,A4,'Nickelsdorf Süd',64.65,0,0,342598797,Raststation Nickelsdorf Süd,,
191.0,A5,'Hochleithen',10.63,0,2,42217069,Raststation Hochleithen,,
192.0,A6,'Potzneusiedl',10.8,0,2,46158787,Rastplatz Potzneusiedl,,
195.0,A7,'Denk',25.76,1,0,189919124,Rastplatz Denk,,
196.0,A8,'Voralpenkreuz',0.17,0,2,47030388,Voralpenkreuz,,
198.0,A8,'Oberham/Nord',18.32,2,0,376844441,Parkplatz Oberham Nord,,
200.0,A8,'Kematen/Nord',24.85,2,0,532884392,Parkplatz Kematen Nord,,
201.0,A8,'Aistersheim',33.81,0,2,245596053,Raststation Aistersheim,,
202.0,A8,'Gotthaming',43.74,2,0,376944495,Parkplatz Gotthaming,,
,A8,'Grübl/Nord',49.61,2,0,81305333,Grübl Nord,,
206.0,A8,'Murau Ost',56.88,1,0,189139728,Rastplatz Murau Ost,,
208.0,A8,'Dietrichshofen/Ost',72.06,2,0,892779685,Parkplatz Dietrichshofen/Ost,,
1.0,A9,'Maisdorf/West',12.73,2,0,376804457,Parkplatz Maisdorf/West,POINT (457248.6927408883 451296.6961317431),12721.204186725834
2.0,A9,'St. Pankraz',36.36,0,2,312364347,,POINT (463307.6259769649 430843.0978130578),36305.52108016812
4.0,A9,'Pyhrn-Priel West',55.04,1,0,510816662,Rastplatz Pyhrn-Priel West,POINT (475238.5922338971 418494.5326237982),55253.91776682321
6.0,A9,'Ardning West',66.04,2,0,376715081,Rastplatz Ardning West,POINT (474264.7869986332 409366.1576528699),66148.4007968077
8.0,A9,'Rottenmann/Süd',78.18,2,0,376715085,,POINT (479560.3242440162 402327.4291888591),78196.23516784806
9.0,A9,'Trieben',85.7,0,2,94441558,Raststation Trieben,POINT (486639.4742590693 399996.0857621173),85716.51059070176
11.0,A9,'Treglwang',94.03,2,0,665215184,Parkplatz Treglwang,POINT (494384.4414220566 397757.6211567058),94053.16658702976
12.0,A9,'Kalwang',106.26,1,0,665214827,Rastplatz Kalwang,POINT (504858.7646234921 392793.6916558671),106346.82419818387
14.0,A9,'Kammern Süd',121.26,0,2,94438967,Raststation Kammern,POINT (518331.4913245914 388591.1482733858),121269.75421704885
15.0,A9,'St. Michael',135.01,2,0,99092854,,POINT (528393.8191299433 381676.808692028),134998.64009941448
17.0,A9,'Ortnerhof Süd’,135.65,2,0,474140730,,POINT (528960.2473120602 381386.926619308),135624.7242459407
18.0,A9,'Hinterlainsach/Ost',139.16,2,0,664756705,,POINT (531484.5482811976 379123.8925040846),139165.3246006848
20.0,A9,'Kleintal',150.57,2,0,564086450,,POINT (540574.3351737915 373267.2506366365),150547.39816113902
22.0,A9,'Übelbach 2',154.24,2,0,664756053,Übelbach II,POINT (543552.0205580738 371167.7484766453),154215.55544922713
