Unnamed: 0,highway,name,direction,centroid,has_charging_station,cs_below_50kwh,cs_above_50kwh,installed_infrastructure,,44kW,50kW,75kW,150kW,350kW
110,A14,'Hohenems',2,POINT (122706.0052690432 391754.7935536472),TRUE,2,4,6,6,1,2,0,0,4
111,A14,'Rankweil West',0,POINT (119816.947577177 383798.2976617484),,,,0,0,,,,,
113,A14,'Schlins West',0,POINT (123321.0886701855 373406.1302092274),,,,0,0,,,,,
116,A2,'Guntramsdorf',2,POINT (623926.2221590605 463563.4606787244),TRUE,2,4,6,8,,0,0,2,0
117,A2,'Triestingtal',0,POINT (614767.8149405568 449540.0532148879),,,,0,0,,,,,
120,A2,'Bad Fischau',0,POINT (613196.1533770029 441023.8700809314),,,,0,0,,,,,
121,A2,'Steinfeld',0,POINT (614534.9720840184 432285.1386301224),,,,0,0,,,,,
123,A2,'Witzelsberg',0,POINT (609381.3005077317 423778.7327135221),,,,0,0,,,,,
125,A2,'Zöbern',2,POINT (609495.7543804377 408545.1437660298),TRUE,3,0,2,5,,2,0,0,0
128,A2,'Pinkafeld/West',0,POINT (607383.314727821 391962.9644715288),,,,0,0,,,,,
129,A2,'Loipersdorf',2,POINT (606100.3011752106 385009.4386134488),TRUE,2,0,2,2,,0,0,0,0
131,A2,'St. Johann/Nord',0,POINT (604971.14603563 378493.8247382877),,,,0,0,,,,,
132,A2,'Hainersdorf',0,POINT (601083.218354068 361095.5815844694),,,,0,0,,,,,
134,A2,'Arnwiesen',2,POINT (584815.6945069765 359017.6639889878),,,,0,0,,,,,
135,A2,'Laßnitzhöhe Nord',0,POINT (570822.2967376324 354091.4658410492),,,,0,0,,,,,
137,A2,'Kaiserwald',2,POINT (555990.9359950811 342071.0291058678),TRUE,4,4,6,14,,2,0,0,4
138,A2,'Herzogberg Nord',0,POINT (534021.3825995264 342554.1485492085),,,,0,0,,,,,
140,A2,'Pack',2,POINT (520193.4766166944 341117.7951351135),,,,0,0,,,,,
142,A2,'Twimberg Nord',0,POINT (514921.9528572539 337722.4353467271),,,,0,0,,,,,
144,A2,'St. Ändra',0,POINT (513196.7727531045 318766.4771180848),,,,0,0,,,,,
146,A2,'Gönitz/Nord',0,POINT (510682.1791903474 313759.070263938),,,,0,0,,,,,
147,A2,'Haimburg Nord',0,POINT (502292.7816052746 310179.8495204826),,,,0,0,,,,,
148,A2,'Völkermarkt',2,POINT (496555.3319714307 309690.5901621991),TRUE,6,1,5,12,,4,0,1,0
149,A2,'Grafenstein Nord',0,POINT (484620.387659362 305140.8658585658),,,,0,0,,,,,
151,A2,'Krumpendorf/Nord',0,POINT (468286.3644425684 303657.2035560734),,,,0,0,,,,,
153,A2,'Wörthersee',2,POINT (458349.9997587008 303666.2358118318),TRUE,1,5,5,11,,5,0,0,0
155,A2,'Sternberg/Nord',0,POINT (449825.1520226449 302412.4533868213),,,,0,0,,,,,
156,A2,'Federaun/Nord',0,POINT (439216.0674886806 298092.1657742577),,,,0,0,,,,,
158,A2,'Dreiländereck Süd',2,POINT (428015.7321372766 296729.4447019593),,,,0,0,,,,,
159,A2,'Dreiländereck Nord',2,POINT (427929.2750915801 296865.8450132926),TRUE,6,1,7,4,,4,0,0,0
168,A21,'Alland',2,POINT (603624.3526028101 467027.472407522),,,,0,0,,,,,
