Unnamed__0,nb,highway,position,check_need,geometry,x_coord,on_segment,Dir==0
87,560,A14,37019.8527872,0,POINT (119588.5954851958 380172.3267401662),119576.330016112,0,0
84,584,A14,32949.4023607,0,POINT (119803.0949688943 384159.1985087865),119790.505801561,0,0
93,703,A14,30219.7670219,0,POINT (119846.7043896381 386827.855536734),119835.723379451,0,0
80,578,A14,27070.4878792,0,POINT (120905.1459324496 389763.097796753),120893.423814754,0,0
92,572,A14,24812.9998027,0,POINT (122241.1596040791 391506.5301544744),122234.133277631,0,0
85,714,A14,20585.9207841,0,POINT (124845.1474828274 394728.3202149938),124837.206358012,0,0
90,697,A14,13429.9903582,0,POINT (127917.1193591802 400891.3516173991),127905.488385513,0,0
89,566,A14,53103.8274373,0,POINT (128563.3100053416 370278.8059106551),128561.150831751,0,0
86,559,A14,11188.9035771,0,POINT (128999.7890942609 402585.784106372),128991.262890236,0,0
83,550,A14,1006.25357508,0,POINT (130242.6342480494 411017.2295068511),130237.549164607,0,0
82,710,A14,2025.17626222,0,POINT (131144.1181920215 410539.335096879),131128.796298831,0,0
88,596,A14,57448.3468462,0,POINT (132259.6471097623 368369.4245205044),132253.879117686,0,0
91,602,A14,58531.3010676,1,POINT (133055.9409959666 367665.1058668413),133049.435281776,0,0
81,709,A14,59836.7970388,0,POINT (133806.2532340928 366598.3590511858),133797.74831057,0,0
222,719,S16,55340.1135107,0,POINT (141264.0993987494 366033.9949480409),141264.099416265,0,1
220,715,S16,49082.9395057,0,POINT (146981.4644425034 363820.4236723355),146981.46444272,0,1
218,9990,S16,42029.0009352,0,POINT (153856.4791594075 363859.1109587546),153856.479166482,0,1
223,8081,S16,24681.5858323,0,POINT (170117.9061626304 364580.6501192619),170117.906164056,0,1
224,691,S16,22802.5306672,0,POINT (171978.661457646 364745.1400586094),171978.661458999,0,1
221,686,S16,18659.0131186,0,POINT (175995.8796365325 365299.7058049891),175995.879635976,0,1
217,6,S16,10906.5895324,0,POINT (182944.4639888262 363664.1579052084),182944.463997547,0,1
219,680,S16,6270.51825731,0,POINT (187095.7991080678 363649.2455203722),187095.799117533,0,1
225,8156,S16,1266.90468826,0,POINT (191275.1469527747 366049.7088145788),191275.146936057,0,1
55,382,A12,141531.28188,0,POINT (195589.6053267382 368599.2908801709),195589.605317201,0,1
67,8126,A12,132452.223315,1,POINT (203437.7355536565 371881.7465590457),203437.7355519,0,1
63,674,A12,126289.726152,0,POINT (209339.8891610272 372602.6981732624),209339.889177186,0,1
62,668,A12,118164.590864,0,POINT (215886.7946608004 377035.9619808056),215886.794657326,0,1
60,662,A12,107151.128689,0,POINT (226249.2933662818 379814.8460219721),226249.29336635,0,1
59,656,A12,98876.3098088,0,POINT (233461.6313986878 380100.7314342235),233461.631403688,0,1
58,650,A12,93845.2054191,0,POINT (237955.3555124195 378286.8746449326),237955.355502484,0,1
56,644,A12,88572.6422021,0,POINT (242398.3674848246 375701.286724476),242398.367488508,0,1
66,557,A12,83473.9696211,0,POINT (247372.5308512808 375830.1803835437),247372.530856935,0,1
