Unnamed: 0,highway,name,asfinag_position,asfinag_type,direction,osm_id,osm_name,centroid,dist_along_highway
83.0,A12,'Imst Nord',133.84,2,0,401260330,Imst Nord,POINT (202103.973387842 371962.3959630321),133786.71793031986
84.0,A12,'Mils',135.51,0,2,401257103,Trofana Tyrol,POINT (200497.5630784137 371607.5573271295),135439.2135005972
85.0,A12,'Kronburg Zams',142.7,2,0,533546618,,POINT (194519.2168737496 368250.2725551513),142654.0697471625
91.0,A13,'Patsch',6.24,2,0,152314682,,POINT (253598.5527459563 369990.4547406422),6206.232537422731
92.0,A13,'Europabrücke',8.27,0,2,320569653,Raststation Europabrücke,POINT (253427.4126027939 368187.6446535956),8216.482070386874
94.0,A13,'Matrei West',16.79,0,0,370306110,Raststation Matrei West,POINT (256974.3902412126 361849.3433098343),16740.466942339608
95.0,A13,'Matrei Ost',16.95,0,2,370306111,Raststation Matrei Ost,POINT (257122.9535760355 361737.0759592641),16905.13403389687
97.0,A13,'Wipptalerhof West',22.56,2,0,372332550,Wipptaler Hof,POINT (257875.0038666153 356438.5720289186),22510.665863203787
99.0,A13,'Nößlach',26.91,1,2,152309579,Nößlach,POINT (259434.8126629056 351963.6051435986),27714.67115167786
102.0,A13,'Gries West',29.54,0,0,239796021,Raststation Gries West,POINT (258763.5181514459 350375.0056006467),29475.082108024984
103.0,A13,'Brennersee - Fröhlich',32.6,2,0,776721687,Brennersee,POINT (260950.0456794845 348413.2928429805),32553.880013910424
104.0,A13,'Brennersee',33.44,0,0,372330818,Raststation Brennersee,POINT (261146.1962436659 347699.728141577),33383.16401416584
105.0,A13,'Brennerpaß',34.16,0,2,372330817,Raststation Brennerpaß,POINT (261398.2313802385 347012.0909509405),34101.63398343049
107.0,A14,'Hörbranz’,0.0,2,2,633966549,,POINT (129543.4415961138 411356.8136098218),243.61131527003093
109.0,A14,'Dornbirn Ost',15.27,2,0,367495632,P 15,POINT (127868.1789472502 399372.9350315455),14950.28436909958
110.0,A14,'Hohenems',24.48,0,2,471547998,Raststation Hohenems,POINT (122706.0052690432 391754.7935536472),24293.55008377413
