,nb_cs,nb_poles,costs,non_covered_energy,perc_not_charged,datetime_of_calculation
0,58.0,526.0,62842000.0,5206.973784900926,0.054308577608248754,2022-01-24 16:19:41.939252
1,55.0,339.0,38973000.0,6282.163701511691,0.0543085776082487,2022-01-24 16:30:18.251946
2,55.0,237.0,26019000.0,4314.662595828363,0.05430857760824873,2022-01-24 16:40:07.544417
3,57.0,532.0,63564000.0,5198.388669672729,0.054308577608248726,2022-01-24 17:34:26.352267
