highway,name,asfinag_position,direction,asfinag_type,traffic_flow,traffic_flow_0,energy_demand,energy_demand_0,pXi_dir,pYi_dir,pYi_dir_0,pE_charged,pE_charged_0,pE_input,pE_input_0,pE_output,pE_output_0,traffic_flow_1,energy_demand_1,pYi_dir_1,pE_charged_1,pE_input_1,pE_output_1
A1,'Parkplatz Großraum’,27.42,2.0,2.0,25490.0,12193.0,59974.3253495514,45433.2359044547,0.0,0.0,0.0,0.0,0.0,0.0,0.0,659.7175788450653,499.76559494900164,13297.0,14541.0894450967,0.0,0.0,0.0,159.9519838960637
A1,'Steinhäusl',32.7,2.0,0.0,63195.9999999991,31485.9999999993,111561.5048226672,34431.8825500717,0.0,0.0,0.0,0.0,0.0,659.7175788450653,499.76559494900164,1886.8941318944044,878.5163029997902,31709.9999999998,77129.6222725955,0.0,0.0,159.9519838960637,1008.3778288946141
A1,'Kesselhof',44.88,1.0,1.0,30234.9999967191,0.0,109130.955699818,0.0,1.0,1.0,0.0,1000.0,0.0,1008.3778288946141,0.0,1208.8183415926121,0.0,30234.9999967191,109130.955699818,1.0,1000.0,1008.3778288946141,1208.8183415926121
A1,'Kirchstetten',44.88,0.0,1.0,29897.9999954276,29897.9999954276,72732.0809427628,72732.0809427628,0.0,0.0,0.0,0.0,0.0,878.5163029997902,878.5163029997902,1678.569193370181,1678.569193370181,0.0,0.0,0.0,0.0,0.0,0.0
A1,'St. Pölten',62.9,2.0,1.0,71148.0,35583.0,227454.8494341069,128422.417400266,1.0,6.0,3.0,5276.394100212994,3000.0,2887.3875349627933,1678.569193370181,112.99677852497462,91.21578477310686,35565.0,99032.4320338409,3.0,2276.394100212994,1208.8183415926121,21.780993751867754
A1,'Schallaburg',76.81,1.0,1.0,29188.0,0.0,136934.360376389,0.0,0.0,0.0,0.0,0.0,0.0,21.780993751867754,0.0,1528.0589578921467,0.0,29188.0,136934.360376389,0.0,0.0,21.780993751867754,1528.0589578921467
A1,'Roggendorf',76.82,0.0,1.0,28377.0,28377.0,78562.3321961741,78562.3321961741,0.0,0.0,0.0,0.0,0.0,91.21578477310686,91.21578477310686,955.401438931022,955.401438931022,0.0,0.0,0.0,0.0,0.0,0.0
A1,'Ornding',88.04,0.0,1.0,27048.0,27048.0,60488.0749227046,60488.0749227046,0.0,0.0,0.0,0.0,0.0,955.401438931022,955.401438931022,1620.7702630807726,1620.7702630807726,0.0,0.0,0.0,0.0,0.0,0.0
A1,'Ybbs',100.32,1.0,0.0,27161.4044508388,0.0,104129.250667749,0.0,1.0,2.0,0.0,2000.0,0.0,1528.0589578921467,0.0,673.4807152373857,0.0,27161.4044508388,104129.250667749,2.0,2000.0,1528.0589578921467,673.4807152373857
A1,'Kemmelbach',101.38,0.0,0.0,26898.0000000002,26898.0000000002,72226.1001687065,72226.1001687065,1.0,3.0,3.0,2415.257364936544,2415.257364936544,1620.7702630807726,1620.7702630807726,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A1,'Viehdorf',118.17,0.0,1.0,25545.0,25545.0,92117.5706346928,92117.5706346928,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1013.2932769816208,1013.2932769816208,0.0,0.0,0.0,0.0,0.0,0.0
A1,'Amstetten',119.36,1.0,1.0,25407.0,0.0,56128.5314279588,0.0,0.0,0.0,0.0,0.0,0.0,673.4807152373857,0.0,1290.8945609449324,0.0,25407.0,56128.5314279588,0.0,0.0,673.4807152373857,1290.8945609449324
A1,'Parkplatz Zeillern’,124.31,0.0,2.0,24685.0,24685.0,24100.5747944984,24100.5747944984,0.0,0.0,0.0,0.0,0.0,1013.2932769816208,1013.2932769816208,1278.3995997211032,1278.3995997211032,0.0,0.0,0.0,0.0,0.0,0.0
