,Autobahn,Standort,Richtung,Art,Fluss,Energiebedarf,pXi_dir,pE_charged_0,pE_input_0,pE_output_0,Fluss_0,Energiebedarf_0,pE_charged_1,pE_input_1,pE_output_1,Fluss_1,Energiebedarf_1,total_number_charging_poles
'Dreiländereck Süd','A02',374.17,2.0,0.0,10112.3,23035.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,94.50470793103453,163.61180793103452,10112.3,23035.7,0.0
'Dreiländereck Nord','A02',374.27,2.0,0.0,9094.6,181.9,1.0,0.0,0.0,0.0,0.0,0.0,164.15750793103453,163.61180793103452,0.0,9094.6,181.9,2.0
'Hornstein','A03',28.0,2.0,0.0,18270.3,102313.5,1.0,0.0,0.0,0.0,0.0,0.0,306.9405,0.0,0.0,18270.3,102313.5,2.0
'Maria Ellend','A04',22.48,1.0,1.0,32397.0,145657.1,1.0,0.0,0.0,0.0,0.0,0.0,381.43599206896556,0.0,55.53530793103448,32397.0,145657.1,1.0
'Göttlesbrunn','A04',28.04,2.0,0.0,32397.0,36025.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,55.53530793103448,163.6118079310345,32397.0,36025.5,0.0
'Parndorf','A04',46.23,1.0,2.0,24533.5,89252.8,1.0,0.0,0.0,0.0,0.0,0.0,267.75839999999994,163.6118079310345,163.61180793103458,24533.5,89252.8,1.0
'Nickelsdorf Nord','A04',64.97,1.0,0.0,13000.0,48724.0,1.0,0.0,0.0,0.0,0.0,0.0,309.7838079310346,163.61180793103458,0.0,13000.0,48724.0,1.0
'Hochleithen','A05',10.63,2.0,0.0,17505.9,37217.6,1.0,0.0,0.0,0.0,0.0,0.0,111.6528,0.0,0.0,17505.9,37217.6,2.0
'Potzneusiedl','A06',10.8,2.0,0.0,10476.0,22628.1,1.0,0.0,0.0,0.0,0.0,0.0,67.8843,0.0,0.0,10476.0,22628.1,2.0
'Engerwitzdorf','A07',25.71,1.0,1.0,19668.0,101132.9,1.0,0.0,0.0,0.0,0.0,0.0,303.39869999999996,0.0,0.0,19668.0,101132.9,1.0
'Voralpenkreuz','A08',0.17,2.0,0.0,10671.7,362.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0884,10671.7,362.8,0.0
'Oberham/Süd','A08',16.76,1.0,2.0,24268.0,80521.1,1.0,0.0,0.0,0.0,0.0,0.0,122.12139206896549,1.0884,120.53030793103454,24268.0,80521.1,1.0
'Schnittering/Süd','A08',20.68,1.0,2.0,18316.9,14360.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,120.53030793103454,163.61180793103455,18316.9,14360.5,0.0
'Aistersheim','A08',33.81,2.0,0.0,17079.1,44849.6,1.0,0.0,0.0,0.0,0.0,0.0,298.1606079310345,163.61180793103455,0.0,17079.1,44849.6,2.0
'Renhartsberg','A08',44.47,1.0,2.0,14652.4,31238.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.7167,14652.4,31238.9,0.0
'Murau West','A08',56.77,1.0,1.0,15380.1,37835.1,1.0,0.0,0.0,0.0,0.0,0.0,43.61019206896549,93.7167,163.61180793103452,15380.1,37835.1,1.0
'Suben West','A08',74.77,1.0,0.0,12508.9,45031.9,1.0,0.0,0.0,0.0,0.0,0.0,298.7075079310345,163.61180793103452,0.0,12508.9,45031.9,1.0
'Maisdorf/Ost','A09',12.66,1.0,2.0,12209.9,30915.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.7465,12209.9,30915.5,0.0
'St. Pankraz','A09',36.36,2.0,0.0,11000.0,52140.0,1.0,0.0,0.0,0.0,0.0,0.0,249.1665,92.7465,0.0,11000.0,52140.0,2.0
'Ardning Ost','A09',65.96,1.0,2.0,9076.7,53734.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,161.202,9076.7,53734.0,0.0
'Rottenmann/Nord','A09',77.91,1.0,2.0,11788.4,28174.2,1.0,0.0,0.0,0.0,0.0,0.0,186.25899206896554,161.202,59.46560793103448,11788.4,28174.2,1.0
'Trieben','A09',85.7,2.0,0.0,12223.7,19044.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,59.46560793103448,116.59940793103446,12223.7,19044.6,0.0
'Gaishorn','A09',92.11,1.0,1.0,12223.7,15670.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,116.59940793103446,163.61180793103446,12223.7,15670.8,0.0
'Kammern Nord','A09',121.18,1.0,2.0,12700.9,73842.8,1.0,0.0,0.0,0.0,0.0,0.0,385.14020793103447,163.61180793103446,0.0,12700.9,73842.8,1.0
'Kammern Süd','A09',121.26,2.0,0.0,12700.9,203.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6096,12700.9,203.2,0.0
'Ortnerhof/West','A09',135.65,1.0,2.0,14001.2,40295.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6096,121.49609999999979,14001.2,40295.5,0.0
'Hinterlainsach/West','A09',139.3,1.0,2.0,12622.3,9214.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,121.49609999999979,149.13899999999978,12622.3,9214.3,0.0
'Übelbach 1','A09',154.16,1.0,2.0,13465.8,40020.3,1.0,0.0,0.0,0.0,0.0,0.0,210.9101920689653,149.13899999999978,58.289707931034506,13465.8,40020.3,1.0
'Deutschfeistritz','A09',161.95,2.0,0.0,13465.8,20979.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,58.289707931034506,121.22880793103451,13465.8,20979.7,1.0
'Feldkirchen','A09',186.97,1.0,2.0,29468.6,147461.0,1.0,0.0,0.0,0.0,0.0,0.0,400.0,121.22880793103451,163.6118079310345,29468.6,147461.0,1.0
'Thalerhof','A09',196.52,1.0,2.0,25429.7,48570.7,1.0,0.0,0.0,0.0,0.0,0.0,309.32390793103446,163.6118079310345,0.0,25429.7,48570.7,1.0
'Gralla Ost','A09',211.45,1.0,0.0,22788.5,68046.3,1.0,0.0,0.0,0.0,0.0,0.0,204.1389,0.0,0.0,22788.5,68046.3,1.0
'Untersberg/Ost','A10',4.37,1.0,2.0,76136.3,66543.1,1.0,0.0,0.0,0.0,0.0,0.0,199.62930000000003,0.0,0.0,76136.3,66543.1,1.0
'Bruderloch','A10',17.53,1.0,2.0,52276.1,137590.6,1.0,0.0,0.0,0.0,0.0,0.0,400.0,0.0,12.771799999999985,52276.1,137590.6,1.0
'Golling Ost','A10',28.76,1.0,0.0,47115.8,105822.1,1.0,0.0,0.0,0.0,0.0,0.0,166.62629206896554,12.771799999999985,163.6118079310345,47115.8,105822.1,1.0
'Eben Süd','A10',59.21,2.0,0.0,32210.7,196163.3,1.0,0.0,0.0,0.0,0.0,0.0,590.6157,163.6118079310345,161.4860079310345,32210.7,196163.3,3.0
'Eben Nord','A10',59.32,2.0,0.0,32210.7,708.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,161.4860079310345,163.6118079310345,32210.7,708.6,0.0
'Tauernalm','A10',79.79,2.0,0.0,19899.9,81470.3,1.0,0.0,0.0,0.0,0.0,0.0,244.41090000000003,163.6118079310345,163.6118079310345,19899.9,81470.3,1.0
'Lanschütz','A10',100.6,1.0,1.0,18238.9,75910.2,1.0,0.0,0.0,0.0,0.0,0.0,391.3424079310345,163.6118079310345,0.0,18238.9,75910.2,1.0
'Eisentratten','A10',125.92,2.0,0.0,18529.2,93831.7,1.0,0.0,0.0,0.0,0.0,0.0,117.88329206896549,0.0,163.6118079310345,18529.2,93831.7,1.0
'Seeboden','A10',141.72,1.0,2.0,20457.0,64644.1,1.0,0.0,0.0,0.0,0.0,0.0,347.55959999999993,163.6118079310345,9.984507931034557,20457.0,64644.1,1.0
'Kamering','A10',154.29,1.0,2.0,20369.6,51209.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,9.984507931034557,163.61180793103455,20369.6,51209.1,0.0
'Feistritz an der Drau','A10',162.01,2.0,0.0,25349.2,39139.1,1.0,0.0,0.0,0.0,0.0,0.0,281.02910793103456,163.61180793103455,0.0,25349.2,39139.1,2.0
'St. Niklas/Nord','A11',2.11,1.0,2.0,76136.3,32129.5,1.0,0.0,0.0,0.0,0.0,0.0,20.87420000000003,0.0,75.51429999999999,76136.3,32129.5,1.0
'Rosegg','A11',9.04,2.0,0.0,78038.9,108161.9,1.0,0.0,0.0,0.0,0.0,0.0,400.0,75.51429999999999,0.0,78038.9,108161.9,3.0
'Langkampfen Süd','A12',9.32,1.0,2.0,77953.1,145304.6,1.0,0.0,0.0,0.0,0.0,0.0,272.30199206896555,0.0,163.6118079310345,77953.1,145304.6,1.0
'Angath Süd','A12',14.1,2.0,0.0,52399.3,50093.7,1.0,0.0,0.0,0.0,0.0,0.0,307.94659999999976,163.6118079310345,5.946307931034712,52399.3,50093.7,2.0
'Angath Nord','A12',14.22,2.0,0.0,52325.6,1255.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,5.946307931034712,9.713707931034712,52325.6,1255.8,0.0
'Münster Süd','A12',36.25,1.0,1.0,41904.8,184632.7,1.0,0.0,0.0,0.0,0.0,0.0,400.0,9.713707931034712,163.61180793103472,41904.8,184632.7,1.0
'Vomp','A12',50.47,1.0,0.0,32210.7,91607.3,1.0,0.0,0.0,0.0,0.0,0.0,400.0,163.61180793103472,38.433707931034746,32210.7,91607.3,1.0
'Weer Süd','A12',55.0,1.0,1.0,32210.7,29182.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,38.433707931034746,125.98240793103476,32210.7,29182.9,0.0
'Volders/Karlskirche','A12',64.18,1.0,2.0,22784.3,41831.9,1.0,0.0,0.0,0.0,0.0,0.0,251.47810793103477,125.98240793103476,0.0,22784.3,41831.9,1.0
'Sieglanger','A12',80.39,1.0,2.0,19899.9,64515.6,1.0,0.0,0.0,0.0,0.0,0.0,193.5468,0.0,0.0,19899.9,64515.6,1.0
'Pettnau','A12',95.81,2.0,0.0,18238.9,56248.7,1.0,0.0,0.0,0.0,0.0,0.0,168.74609999999998,0.0,0.0,18238.9,56248.7,1.0
'Telfs Süd','A12',103.3,1.0,2.0,16777.2,25132.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.3966,16777.2,25132.2,0.0
'Haiming Süd','A12',118.5,1.0,2.0,18529.2,56328.7,1.0,0.0,0.0,0.0,0.0,0.0,244.3827,75.3966,0.0,18529.2,56328.7,1.0
'Imst Süd','A12',133.49,1.0,2.0,18332.6,54961.1,1.0,0.0,0.0,0.0,0.0,0.0,164.8833,0.0,0.0,18332.6,54961.1,1.0
'Mils','A12',135.51,2.0,0.0,18332.6,7406.4,1.0,0.0,0.0,0.0,0.0,0.0,22.2192,0.0,0.0,18332.6,7406.4,1.0
'Europabrücke','A13',8.27,2.0,0.0,28178.9,46607.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139.8237,28178.9,46607.9,0.0
'Gschleirs','A13',14.05,1.0,2.0,22874.1,26442.4,1.0,0.0,0.0,0.0,0.0,0.0,219.1509,139.8237,0.0,22874.1,26442.4,1.0
'Matrei Ost','A13',16.95,2.0,0.0,22874.1,13267.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,39.801,22874.1,13267.0,0.0
'Wipptalerhof Ost','A13',22.41,1.0,2.0,18001.4,19657.5,1.0,0.0,0.0,0.0,0.0,0.0,98.77350000000001,39.801,0.0,18001.4,19657.5,1.0
'Plon','A13',23.61,1.0,2.0,18001.4,4320.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.960899999999484,18001.4,4320.3,0.0
'Nößlach West','A13',26.91,2.0,1.0,18246.2,12042.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,12.960899999999484,49.08839999999948,18246.2,12042.5,0.0
'Nößlach Ost','A13',27.73,1.0,2.0,19242.8,3155.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,49.08839999999948,58.55579999999948,19242.8,3155.8,0.0
'Gries Ost','A13',29.15,1.0,0.0,19283.1,5476.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,58.55579999999948,74.98499999999947,19283.1,5476.4,0.0
'Brennerpaß','A13',34.16,2.0,0.0,19283.1,19321.7,1.0,0.0,0.0,0.0,0.0,0.0,132.95009999999948,74.98499999999947,0.0,19283.1,19321.7,2.0
'Dornbirn West','A14',15.07,1.0,2.0,27252.2,82138.3,1.0,0.0,0.0,0.0,0.0,0.0,244.32189206896555,0.0,2.093007931034464,27252.2,82138.3,1.0
'Hohenems','A14',24.48,2.0,0.0,28607.7,53839.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.093007931034464,163.6118079310345,28607.7,53839.6,1.0
'Rankweil Ost','A14',33.82,1.0,2.0,21626.3,40397.8,1.0,0.0,0.0,0.0,0.0,0.0,284.8052079310345,163.6118079310345,0.0,21626.3,40397.8,1.0
'Schlins Ost','A14',46.85,1.0,2.0,13785.9,35926.1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107.77829999999999,13785.9,35926.1,0.0
'Nüziders','A14',55.2,1.0,2.0,13860.4,23146.8,1.0,0.0,0.0,0.0,0.0,0.0,177.21869999999998,107.77829999999999,0.0,13860.4,23146.8,1.0
'Alland','A21',14.68,2.0,0.0,23077.6,67755.8,1.0,0.0,0.0,0.0,0.0,0.0,203.2674,0.0,0.0,23077.6,67755.8,2.0
'Dornbach','A21',19.96,1.0,2.0,23086.6,24379.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73.13850000000004,23086.6,24379.5,0.0
'Sparbach','A21',26.99,1.0,2.0,23869.6,33560.6,1.0,0.0,0.0,0.0,0.0,0.0,173.82030000000003,73.13850000000004,0.0,23869.6,33560.6,1.0
'Korneuburg West','A22',18.04,1.0,0.0,31303.8,112944.0,1.0,0.0,0.0,0.0,0.0,0.0,338.832,0.0,0.0,31303.8,112944.0,1.0
'Stockerau','A22',28.09,1.0,0.0,29258.4,58809.4,1.0,0.0,0.0,0.0,0.0,0.0,176.4282,0.0,0.0,29258.4,58809.4,1.0
'Sinnersdorf/Süd','A25',6.11,1.0,2.0,25000.0,30550.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.65,25000.0,30550.0,0.0
'Wels','A25',13.06,2.0,0.0,25398.0,35303.2,1.0,0.0,0.0,0.0,0.0,0.0,197.5596,91.65,0.0,25398.0,35303.2,2.0
'Schwechat','S01',9.85,2.0,0.0,34184.9,67344.2,1.0,0.0,0.0,0.0,0.0,0.0,202.0326,0.0,0.0,34184.9,67344.2,2.0
'Deutsch Wagram','S01',39.05,2.0,0.0,15273.6,89197.8,1.0,0.0,0.0,0.0,0.0,0.0,267.59340000000003,0.0,0.0,15273.6,89197.8,2.0
'Pöttsching','S04',5.43,2.0,0.0,10176.0,11051.1,1.0,0.0,0.0,0.0,0.0,0.0,33.1533,0.0,0.0,10176.0,11051.1,2.0
'Grafenwörth','S05',32.85,2.0,0.0,11991.5,78784.3,1.0,0.0,0.0,0.0,0.0,0.0,236.3529,0.0,0.0,11991.5,78784.3,2.0
'Natschbach','S06',3.22,2.0,0.0,13293.4,8560.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.6827,13293.4,8560.9,0.0
'Gloggnitz Süd','S06',17.81,1.0,2.0,7838.2,22871.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,25.6827,94.2984,7838.2,22871.9,0.0
'Schottwien','S06',23.57,2.0,0.0,7838.2,9029.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,94.2984,121.3872,7838.2,9029.6,0.0
'Schwöbing Süd','S06',48.57,1.0,0.0,9245.4,46226.9,1.0,0.0,0.0,0.0,0.0,0.0,260.0679,121.3872,0.0,9245.4,46226.9,1.0
'Kapfenberg Süd','S06',72.45,1.0,0.0,12525.6,59822.4,1.0,0.0,0.0,0.0,0.0,0.0,179.46720000000002,0.0,0.0,12525.6,59822.4,1.0
'Schnann','S16',18.9,2.0,0.0,5351.0,20226.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.68070000000001,5351.0,20226.9,0.0
'Klösterle','S16',44.17,1.0,0.0,5086.4,25706.8,1.0,0.0,0.0,0.0,0.0,0.0,0.0,60.68070000000001,137.80110000000002,5086.4,25706.8,0.0
'Radin Süd','S16',59.01,1.0,2.0,5564.8,16516.4,1.0,0.0,0.0,0.0,0.0,0.0,187.35030000000003,137.80110000000002,0.0,5564.8,16516.4,1.0
'Tschurndorf','S31',68.14,1.0,2.0,4934.1,67241.8,1.0,0.0,0.0,0.0,0.0,0.0,201.7254,0.0,0.0,4934.1,67241.8,1.0
'Inzersdorf','S33',15.28,1.0,1.0,15166.9,46349.9,1.0,0.0,0.0,0.0,0.0,0.0,139.0497,0.0,0.0,15166.9,46349.9,1.0
'Fronleiten Ost','S35',26.82,1.0,2.0,9725.7,52168.8,1.0,0.0,0.0,0.0,0.0,0.0,156.5064,0.0,0.0,9725.7,52168.8,1.0
'St. Marein Süd','S36',14.97,1.0,0.0,10272.1,30754.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92.2638,10272.1,30754.6,0.0
'Strettweg','S36',34.61,1.0,2.0,9887.4,38837.7,1.0,0.0,0.0,0.0,0.0,0.0,208.7769,92.2638,0.0,9887.4,38837.7,1.0
