highway,name,asfinag_position,direction,asfinag_type,traffic_flow,traffic_flow_0,energy_demand,energy_demand_0,pXi_dir,pYi_dir,pYi_dir_0,pE_charged,pE_charged_0,pE_input,pE_input_0,pE_output,pE_output_0,traffic_flow_1,energy_demand_1,pYi_dir_1,pE_charged_1,pE_input_1,pE_output_1
A1,'Parkplatz Großraum’,27.42,2.0,2.0,25490.00000000002,12193.00000000001,59974.325349551335,45433.23590445468,1.0,117.0,85.0,46722.46083945867,34000.0,0.0,0.0,7254.43197513753,6889.912314009212,13297.00000000001,14541.089445096652,32.0,12722.46083945867,0.0,364.51966112831724
A1,'Steinhäusl',32.7,2.0,0.0,63195.99999999913,31485.99999999933,111561.50482266714,34431.882550071685,1.0,176.0,2.0,70400.0,800.0,7254.43197513753,6889.912314009212,37259.78631553796,37078.60660907373,31709.9999999998,77129.62227259546,174.0,69600.0,364.51966112831724,181.17970646423055
A1,'Kesselhof',44.88,1.0,1.0,30234.999996719125,0.0,109130.95569981833,0.0,1.0,245.0,0.0,98000.0,0.0,181.17970646423055,0.0,399.03983630072617,0.0,30234.999996719125,109130.95569981833,245.0,98000.0,181.17970646423055,399.03983630072617
A1,'Kirchstetten',44.88,0.0,1.0,29897.99999542764,29897.99999542764,72732.0809427628,72732.0809427628,1.0,164.0,164.0,65600.0,65600.0,37078.60660907373,37078.60660907373,36937.47945756025,36937.47945756025,0.0,0.0,0.0,0.0,0.0,0.0
A1,'St. Pölten',62.9,2.0,0.0,71148.0,35583.0,227454.84943410664,128422.41740026572,1.0,512.0,289.0,204800.0,115600.0,37336.519293860976,36937.47945756025,37245.88378455696,36917.655117799404,35565.0,99032.43203384092,223.0,89200.0,399.03983630072617,328.2286667575536
A1,'Schallaburg',76.81,1.0,1.0,29188.0,0.0,136934.36037638868,0.0,1.0,216.0,0.0,86400.0,0.0,328.2286667575536,0.0,37169.15300550737,0.0,29188.0,136934.36037638868,216.0,86400.0,328.2286667575536,37169.15300550737
A1,'Roggendorf',76.82,0.0,1.0,28377.0,28377.0,78562.33219617409,78562.33219617409,1.0,177.0,177.0,70800.0,70800.0,36917.655117799404,36917.655117799404,36823.75409435608,36823.75409435608,0.0,0.0,0.0,0.0,0.0,0.0
A1,'Ornding',88.04,0.0,1.0,27048.0,27048.0,60488.07492270462,60488.07492270462,1.0,228.0,228.0,91200.0,91200.0,36823.75409435608,36823.75409435608,63.02152479023789,63.02152479023789,0.0,0.0,0.0,0.0,0.0,0.0
A1,'Ybbs',100.32,1.0,0.0,27161.40445083877,0.0,104129.25066774894,0.0,1.0,235.0,0.0,94000.0,0.0,37169.15300550737,0.0,36885.478606481425,0.0,27161.40445083877,104129.25066774894,235.0,94000.0,37169.15300550737,36885.478606481425
A1,'Kemmelbach',101.38,0.0,0.0,26898.000000000207,26898.000000000207,72226.10016870651,72226.10016870651,1.0,162.0,162.0,64800.0,64800.0,63.02152479023789,63.02152479023789,266.5116766261053,266.5116766261053,0.0,0.0,0.0,0.0,0.0,0.0
A1,'Viehdorf',118.17,0.0,1.0,25545.0,25545.0,92117.57063469278,92117.57063469278,1.0,170.0,170.0,68000.0,68000.0,266.5116766261053,266.5116766261053,15172.3252478496,15172.3252478496,0.0,0.0,0.0,0.0,0.0,0.0
A1,'Amstetten',119.36,1.0,1.0,25407.0,0.0,56128.53142795883,0.0,1.0,126.0,0.0,50400.0,0.0,36885.478606481425,0.0,37001.15689164437,0.0,25407.0,56128.53142795883,126.0,50400.0,36885.478606481425,37001.15689164437
A1,'Parkplatz Zeillern’,124.31,0.0,2.0,24685.0,24685.0,24100.57479449837,24100.57479449837,0.0,0.0,0.0,0.0,0.0,15172.3252478496,15172.3252478496,36862.842562898135,36862.842562898135,0.0,0.0,0.0,0.0,0.0,0.0
A1,'Oed',130.52,1.0,2.0,26849.69206306653,0.0,69822.67372138443,0.0,1.0,249.0,0.0,99600.0,0.0,37001.15689164437,0.0,241.56324089036207,0.0,26849.69206306653,69822.67372138443,249.0,99600.0,37001.15689164437,241.56324089036207
A1,'Strengberg',136.0,0.0,0.0,25773.0,25773.0,60567.28709144443,60567.28709144443,1.0,228.0,228.0,91197.66573121585,91197.66573121585,36862.842562898135,36862.842562898135,175.73521398227604,175.73521398227604,0.0,0.0,0.0,0.0,0.0,0.0
A1,'Haag',143.54,1.0,0.0,28172.0,0.0,72532.38382040594,0.0,1.0,71.0,0.0,28364.585049216214,0.0,241.56324089036207,0.0,37156.123630039496,0.0,28172.0,72532.38382040594,71.0,28364.585049216214,241.56324089036207,37156.123630039496
