Time of calculation: 20210928-160601; value of objective: 1236.3258298462738;  acc=20.0;  ec=0.25;  e_tax=0.15;  cfix=50000;  cvar=10000;  eta=0.011; mu=0.5; tf_at_peak=0.2;  hours_of_constant_charging=20;  i=0.05;  T=10
highway,name,asfinag_position,direction,asfinag_type,traffic_flow,traffic_flow_1,energy_demand,energy_demand_1,pXi_dir,pYi_dir,pYi_dir_1,pE_charged,pE_charged_1,pE_input,pE_input_1,pE_output,pE_output_1,traffic_flow_0,energy_demand_0,pYi_dir_0,pE_charged_0,pE_input_0,pE_output_0
A1,'Steinhäusl',32.7,2.0,0.0,63195.9999999991,31709.9999999998,34307.166034443726,18334.142343538442,1.0,2.0,1.0,100.0,50.0,560.78,292.534,498.5178826378881,262.7015565778923,31485.9999999993,15973.02369090528,1.0,50.0,268.246,235.8163260599958
A1,'Kesselhof',44.88,1.0,1.0,30234.9999967191,30234.9999967191,21826.1911399636,21826.1911399636,1.0,1.0,1.0,1.0658141036401503e-14,1.0658141036401503e-14,262.7015565778923,262.7015565778923,286.71036683185224,286.71036683185224,0.0,0.0,0.0,0.0,0.0,0.0
A1,'Kirchstetten',44.88,0.0,1.0,29897.9999954276,0.0,14546.416188552561,0.0,1.0,1.0,0.0,0.0,0.0,235.8163260599958,0.0,251.8173838674036,0.0,29897.9999954276,14546.416188552561,1.0,0.0,235.8163260599958,251.8173838674036
A1,'St. Pölten',62.9,2.0,1.0,71148.0,35565.0,45490.96988682138,19806.48640676818,1.0,2.0,1.0,1.4210854715202004e-14,0.0,538.5277506992559,286.71036683185224,588.5678175747594,308.49750187929726,35583.0,25684.4834800532,1.0,1.4210854715202004e-14,251.8173838674036,280.0703156954621
A1,'Schallaburg',76.81,1.0,1.0,29188.0,29188.0,27386.872075277803,27386.872075277803,1.0,1.0,1.0,1.7763568394002505e-14,1.7763568394002505e-14,308.49750187929726,308.49750187929726,338.62306116210283,338.62306116210283,0.0,0.0,0.0,0.0,0.0,0.0
A1,'Roggendorf',76.82,0.0,1.0,28377.0,0.0,15712.46643923482,0.0,1.0,1.0,0.0,0.0,0.0,280.0703156954621,0.0,297.35402877862043,0.0,28377.0,15712.46643923482,1.0,0.0,280.0703156954621,297.35402877862043
A1,'Ornding',88.04,0.0,1.0,27048.0,0.0,12097.614984540922,0.0,1.0,1.0,0.0,0.0,0.0,297.35402877862043,0.0,310.66140526161547,0.0,27048.0,12097.614984540922,1.0,0.0,297.35402877862043,310.66140526161547
A1,'Ybbs',100.32,1.0,0.0,27161.4044508388,27161.4044508388,20825.8501335498,20825.8501335498,1.0,1.0,1.0,50.0,50.0,338.62306116210283,338.62306116210283,311.5314963090076,311.5314963090076,0.0,0.0,0.0,0.0,0.0,0.0
A1,'Kemmelbach',101.38,0.0,0.0,26898.0000000002,0.0,14445.220033741301,0.0,1.0,1.0,0.0,2.1316282072803006e-14,0.0,310.66140526161547,0.0,326.5511472987309,0.0,26898.0000000002,14445.220033741301,1.0,2.1316282072803006e-14,310.66140526161547,326.5511472987309
A1,'Viehdorf',118.17,0.0,1.0,25545.0,0.0,18423.51412693856,0.0,1.0,1.0,0.0,50.0,0.0,326.5511472987309,0.0,296.8170128383633,0.0,25545.0,18423.51412693856,1.0,50.0,326.5511472987309,296.8170128383633
