Autobahn,Name,Standort,Richtung,Art,Fluss,Fluss_0,Energiebedarf,Energiebedarf_0,pXi_dir,pYi_dir,pYi_dir_0,pE_charged,pE_charged_0,pE_input,pE_input_0,pE_output,pE_output_0,Fluss_1,Energiebedarf_1,pYi_dir_1,pE_charged_1,pE_input_1,pE_output_1
'A01','Salzburger Vorland',277.55,1.0,2.0,24172.0,0.0,33454.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,100.362,0.0,24172.0,33454.0,0.0,0.0,0.0,100.362
'A01','Mondsee',259.23,2.0,0.0,35244.600000000006,17666.7,83675.9,28973.5,0.0,1.0,0.0,327.7190079310345,0.0,163.6118079310345,0.0,86.92049999999998,86.92049999999998,17577.9,54702.4,1.0,327.7190079310345,163.6118079310345,0.0
'A01','Hainbach Nord',230.72,0.0,1.0,16696.6,16696.6,61644.0,61644.0,1.0,1.0,1.0,329.016,329.016,163.6118079310345,163.6118079310345,19.527807931034488,19.527807931034488,0.0,0.0,0.0,0.0,0.0,0.0
'A01','Viehdorf',118.17,0.0,1.0,28743.0,28743.0,96518.8,96518.8,1.0,1.0,1.0,289.5564,289.5564,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'A01','Kirchstetten',44.88,0.0,1.0,34900.0,34900.0,85016.4,85016.4,1.0,1.0,1.0,255.04920000000004,255.04920000000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'A01','Enns Süd',156.19,1.0,1.0,31463.9,0.0,79603.7,0.0,1.0,1.0,0.0,238.8111,0.0,0.0,0.0,0.0,0.0,31463.9,79603.7,1.0,238.8111,0.0,0.0
'A01','Haag',143.54,1.0,0.0,28068.7,0.0,73090.8,0.0,1.0,1.0,0.0,219.2724,0.0,0.0,0.0,0.0,0.0,28068.7,73090.8,1.0,219.2724,0.0,0.0
'A01','Walserberg Süd',300.71,1.0,0.0,22448.8,0.0,63979.1,0.0,1.0,1.0,0.0,191.9373,0.0,0.0,0.0,0.0,0.0,22448.8,63979.1,1.0,191.9373,0.0,0.0
'A01','Salzburger Tor',282.75,0.0,2.0,31497.8,31497.8,49955.5,49955.5,1.0,1.0,1.0,302.58670793103454,302.58670793103454,163.6118079310345,163.6118079310345,10.891599999999983,10.891599999999983,0.0,0.0,0.0,0.0,0.0,0.0
'A01','Schafbergblick',268.98,0.0,2.0,20637.0,20637.0,40242.1,40242.1,1.0,1.0,1.0,128.55159206896548,128.55159206896548,86.92049999999998,86.92049999999998,79.0952079310345,79.0952079310345,0.0,0.0,0.0,0.0,0.0,0.0
'A01','Ybbs',100.32,1.0,0.0,28623.6,0.0,134588.2,0.0,1.0,1.0,0.0,400.0,0.0,0.0,0.0,3.76460000000003,0.0,28623.6,134588.2,1.0,400.0,0.0,3.76460000000003
'A01','Lindach Süd',212.27,1.0,0.0,24974.8,0.0,148250.5,0.0,1.0,1.0,0.0,281.13969206896553,0.0,0.0,0.0,163.6118079310345,0.0,24974.8,148250.5,1.0,281.13969206896553,0.0,163.6118079310345
'A01','Söllheim',286.46,1.0,0.0,31201.5,0.0,55601.0,0.0,1.0,1.0,0.0,267.16499999999996,0.0,100.362,0.0,0.0,0.0,31201.5,55601.0,1.0,267.16499999999996,100.362,0.0
'A01','Allhaming Nord',182.6,0.0,1.0,23154.9,23154.9,53673.0,53673.0,0.0,0.0,0.0,0.0,0.0,2.5928079310344856,2.5928079310344856,163.6118079310345,163.6118079310345,0.0,0.0,0.0,0.0,0.0,0.0
'A01','Ennsblick',147.1,0.0,2.0,29708.0,29708.0,65892.3,65892.3,1.0,1.0,1.0,361.28870793103454,361.28870793103454,163.6118079310345,163.6118079310345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'A01','Kemmelbach',101.38,0.0,0.0,29778.2,29778.2,79448.3,79448.3,1.0,1.0,1.0,238.34490000000002,238.34490000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'A02','Bad Fischau',40.93,0.0,0.0,35799.0,35799.0,63364.3,63364.3,1.0,1.0,1.0,353.7047079310345,353.7047079310345,163.6118079310345,163.6118079310345,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
'A02','Loipersdorf',105.5,2.0,0.0,32242.5,15465.3,48430.9,23198.0,0.0,0.0,0.0,0.0,0.0,22.053807931034484,22.053807931034484,167.34650793103435,91.64780793103449,16777.2,25232.9,0.0,0.0,0.0,75.69869999999986
'A02','Gönitz/Süd',268.86,1.0,2.0,12462.4,0.0,22457.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,67.3716,0.0,12462.4,22457.2,0.0,0.0,0.0,67.3716
'A02','Wörthersee',340.13,2.0,0.0,38965.5,19346.4,66662.4,41981.6,1.0,2.0,1.0,429.36620000000005,224.21640000000002,294.71920793103453,163.6118079310345,65.34020793103448,65.34020793103448,19619.1,24680.8,1.0,205.14980000000003,131.10740000000004,0.0
'A02','Föhrenberg',39.31,1.0,0.0,41904.8,0.0,60594.4,0.0,1.0,1.0,0.0,345.3950079310345,0.0,163.6118079310345,0.0,0.0,0.0,41904.8,60594.4,1.0,345.3950079310345,163.6118079310345,0.0
'A02','Triestingtal',32.08,0.0,1.0,39374.6,39374.6,138992.4,138992.4,1.0,1.0,1.0,400.0,400.0,146.6346079310345,146.6346079310345,163.6118079310345,163.6118079310345,0.0,0.0,0.0,0.0,0.0,0.0
'A02','Leobersdorf',32.08,1.0,1.0,41904.8,0.0,147924.0,0.0,1.0,1.0,0.0,400.0,0.0,119.83980793103444,0.0,163.6118079310345,0.0,41904.8,147924.0,1.0,400.0,119.83980793103444,163.6118079310345
'A02','Völkermarkt',285.09,2.0,0.0,22687.4,11177.6,50595.2,13234.3,0.0,1.0,0.0,179.4543,0.0,178.54199999999994,111.17039999999994,150.87329999999994,150.87329999999994,11509.8,37360.9,1.0,179.4543,67.3716,0.0
'A02','Federaun/Süd',362.78,1.0,2.0,16681.9,0.0,45942.0,0.0,1.0,1.0,0.0,145.52709206896546,0.0,102.2058,0.0,94.50470793103453,0.0,16681.9,45942.0,1.0,145.52709206896546,102.2058,94.50470793103453
'A02','Zöbern',78.76,2.0,0.0,39077.4,19177.5,137347.0,68732.0,1.0,2.0,1.0,717.0065079310345,369.8078079310345,304.9655079310345,163.6118079310345,0.0,0.0,19899.9,68615.0,1.0,347.19870000000003,141.3537,0.0
'A02','Dreiländereck Nord',374.27,2.0,0.0,16441.5,7346.9,328.8,146.9,1.0,2.0,1.0,328.21001586206904,164.0525079310345,327.22361586206904,163.61180793103452,0.0,0.0,9094.6,181.9,1.0,164.15750793103453,163.61180793103452,0.0
'A02','Haimburg Nord',279.17,0.0,2.0,11177.6,11177.6,22981.1,22981.1,0.0,0.0,0.0,0.0,0.0,42.22709999999995,42.22709999999995,111.17039999999994,111.17039999999994,0.0,0.0,0.0,0.0,0.0,0.0
'A02','Fischering',259.85,1.0,2.0,11825.6,0.0,41413.2,0.0,1.0,1.0,0.0,254.4495,0.0,130.2099,0.0,0.0,0.0,11825.6,41413.2,1.0,254.4495,130.2099,0.0
'A02','Herzogberg Süd',220.19,1.0,1.0,9308.4,0.0,54770.8,0.0,1.0,1.0,0.0,327.9242079310345,0.0,163.6118079310345,0.0,0.0,0.0,9308.4,54770.8,1.0,327.9242079310345,163.6118079310345,0.0
'A02','Grafenstein Nord',300.0,0.0,1.0,12796.6,12796.6,38159.5,38159.5,1.0,1.0,1.0,101.73999206896545,101.73999206896545,150.87329999999994,150.87329999999994,163.6118079310345,163.6118079310345,0.0,0.0,0.0,0.0,0.0,0.0
'A02','Pack',235.21,2.0,0.0,18365.199999999997,9056.8,55277.9,27315.4,1.0,1.0,1.0,120.06729206896551,120.06729206896551,159.5451,159.5451,205.3115079310345,121.42400793103448,9308.4,27962.5,0.0,0.0,0.0,83.8875
'A02','Twimberg Nord',242.44,0.0,2.0,9725.2,9725.2,14062.6,14062.6,0.0,0.0,0.0,0.0,0.0,121.42400793103448,121.42400793103448,163.6118079310345,163.6118079310345,0.0,0.0,0.0,0.0,0.0,0.0
'A02','St. Johann/Süd',113.05,1.0,2.0,16777.3,0.0,25333.7,0.0,1.0,0.0,0.0,0.0,0.0,75.69869999999986,0.0,151.69979999999987,0.0,16777.3,25333.7,0.0,0.0,75.69869999999986,151.69979999999987
'A02','Laßnitzhöhe Süd',170.65,1.0,1.0,30600.0,0.0,101286.0,0.0,1.0,1.0,0.0,303.858,0.0,0.0,0.0,0.0,0.0,30600.0,101286.0,1.0,303.858,0.0,0.0
'A02','Witzelsberg',60.84,0.0,2.0,21809.0,21809.0,45755.3,45755.3,0.0,0.0,0.0,0.0,0.0,26.345907931034475,26.345907931034475,163.6118079310345,163.6118079310345,0.0,0.0,0.0,0.0,0.0,0.0
'A02','Gleissenfeld',61.52,1.0,2.0,22784.3,0.0,47117.9,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,141.3537,0.0,22784.3,47117.9,0.0,0.0,0.0,141.3537
'A02','Wr. Neustadt',51.18,1.0,1.0,32210.7,0.0,76468.3,0.0,1.0,1.0,0.0,229.40490000000003,0.0,0.0,0.0,0.0,0.0,32210.7,76468.3,1.0,229.40490000000003,0.0,0.0
'A02','Pinkafeld/Ost',97.98,1.0,2.0,18238.9,0.0,41146.9,0.0,1.0,1.0,0.0,218.244,0.0,94.8033,0.0,0.0,0.0,18238.9,41146.9,1.0,218.244,94.8033,0.0
'A02','Twimberg Süd',242.34,1.0,2.0,10828.0,0.0,15440.8,0.0,1.0,0.0,0.0,0.0,0.0,83.8875,0.0,130.2099,0.0,10828.0,15440.8,-0.0,0.0,83.8875,130.2099
