Time of calculation: 20211005-224404; value of objective: 10983.03800335657;  acc=20.0;  ec=0.25;  e_tax=0.15;  cfix=50000;  cvar=10000;  eta=0.01;  mu=0.5;  hours_of_constant_charging=20;  i=0.05;  T=10
highway,name,asfinag_position,direction,asfinag_type,traffic_flow,traffic_flow_0,traffic_flow_1,energy_demand,energy_demand_0,energy_demand_1,pXi_dir,pYi_dir,pYi_dir_0,pYi_dir_1,pE_charged,pE_charged_0,pE_charged_1,pE_input,pE_input_0,pE_input_1,pE_output,pE_output_0,pE_output_1
A1,'Lindach Süd',212.27,1.0,0.0,24205.0,0.0,24205.0,88500.71292866017,0.0,88500.71292866017,1.0,1.0,0.0,1.0,1000.0,0.0,1000.0,557.4964353566991,0.0,557.4964353566991,0.0,0.0,0.0
A1,'Hainbach Süd',230.7,1.0,1.0,16641.0,0.0,16641.0,43626.88664048988,0.0,43626.88664048988,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,339.3620021542497,0.0,339.3620021542497,557.4964353566991,0.0,557.4964353566991
A1,'Hainbach Nord',230.72,0.0,1.0,15023.0,15023.0,0.0,55447.073726717535,55447.073726717535,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,277.2353686335877,277.2353686335877,0.0
A1,'Straß',243.67,1.0,1.0,16828.67483549712,0.0,16828.67483549712,52286.93331258195,0.0,52286.93331258195,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,77.92733559133995,0.0,77.92733559133995,339.3620021542497,0.0,339.3620021542497
A1,'Oberwang',251.03,0.0,1.0,15727.0,15727.0,0.0,64059.905884903295,64059.905884903295,0.0,1.0,1.0,1.0,0.0,597.5348980581042,597.5348980581042,0.0,277.2353686335877,277.2353686335877,0.0,0.0,0.0,0.0
A1,'Mondsee',259.23,2.0,0.0,31060.001681777,15727.000882328592,15333.000799448411,108891.47151975876,25342.39533715945,83549.07618259931,0.0,1.0,0.0,1.0,755.8483913143018,1.3642420526593924e-12,755.8483913143004,416.0303459926438,0.0,416.0303459926438,204.63931227713584,126.71197668579589,77.92733559133995
A1,'Söllheim',286.46,1.0,0.0,28864.537464121862,0.0,28864.537464121862,82339.63927517904,0.0,82339.63927517904,1.0,1.0,0.0,1.0,0.0,0.0,0.0,4.332149616748534,0.0,4.332149616748534,416.0303459926438,0.0,416.0303459926438
A1,'Kasern',287.89,0.0,0.0,38922.8495638266,38922.8495638266,0.0,223019.90593909277,223019.90593909277,0.0,1.0,1.0,1.0,0.0,1000.0,1000.0,0.0,126.71197668579589,126.71197668579589,0.0,241.81150638125968,241.81150638125968,0.0
A1,'Walserberg Süd',300.71,1.0,0.0,14880.00000000295,0.0,14880.00000000295,866.4299233497069,0.0,866.4299233497069,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.332149616748534,0.0,4.332149616748534
A1,'Walserberg Nord',300.73,0.0,0.0,12964.000000008587,12964.000000008587,0.0,33079.84748626592,33079.84748626592,0.0,1.0,1.0,1.0,0.0,407.21074381258927,407.21074381258927,0.0,241.81150638125968,241.81150638125968,0.0,0.0,0.0,0.0
A10,'Golling Ost',28.76,1.0,0.0,19647.00094772099,0.0,19647.00094772099,119966.62316808572,0.0,119966.62316808572,1.0,1.0,0.0,1.0,599.8331158404286,0.0,599.8331158404286,0.0,0.0,0.0,0.0,0.0,0.0
A10,'Golling West',28.82,0.0,0.0,19875.000668287423,19875.000668287423,0.0,104378.50480107158,104378.50480107158,0.0,1.0,1.0,1.0,0.0,521.8925240053582,521.8925240053582,0.0,0.0,0.0,0.0,-2.2737367544323206e-13,-2.2737367544323206e-13,0.0
A10,'Eben Süd',59.21,2.0,0.0,31555.3674870556,15997.416619605658,15557.95086744994,63864.366982730906,73.98398827676816,63790.382994454136,0.0,1.0,0.0,1.0,387.04369153295,0.0,387.04369153295,68.09177656067914,-2.2737367544323206e-13,68.09177656067936,0.36991994138361406,0.36991994138361406,0.0
A10,'Eben Nord',59.32,2.0,0.0,31554.16119307871,15997.1632592005,15556.997933878209,97642.35981166828,97570.41264793991,71.94716372837226,1.0,1.0,1.0,0.0,488.22198318108735,488.2219831810832,4.1306957854203574e-12,68.10196068342525,0.36991994138361406,67.73204074204163,68.09177656067936,0.0,68.09177656067936
A10,'Tauernalm',79.79,2.0,0.0,21522.867721662667,10903.654559151322,10619.213162511343,88819.6820605424,44706.93514161317,44112.74691892924,0.0,1.0,0.0,1.0,999.9999999999998,0.0,999.9999999999998,847.1683061473952,0.0,847.1683061473952,291.2667164501075,223.53467570806583,67.73204074204163
A10,'Lungau',97.91,0.0,0.0,10877.0,10877.0,0.0,39524.43281357246,39524.43281357246,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,223.53467570806583,223.53467570806583,0.0,421.1568397759281,421.1568397759281,0.0
A10,'Lanschütz',100.6,1.0,1.0,10558.5,0.0,10558.5,53393.23087724362,0.0,53393.23087724362,0.0,0.0,0.0,0.0,0.0,0.0,0.0,580.2021517611771,0.0,580.2021517611771,847.1683061473952,0.0,847.1683061473952
A10,'Eisentratten',125.92,2.0,0.0,14180.999999999998,6877.999999999999,7302.999999999999,90988.98323942441,38359.86860817266,52629.11463125176,1.0,1.0,1.0,0.0,612.9561828167914,612.9561828167914,0.0,738.2134183808464,421.1568397759281,317.0565786049183,580.2021517611771,0.0,580.2021517611771
A10,'Feistritz an der Drau',162.01,2.0,0.0,29679.0,14929.0,14750.0,170997.24647957023,107585.93075858656,63411.31572098366,1.0,1.0,1.0,0.0,537.9296537929329,537.9296537929329,0.0,0.0,0.0,0.0,317.0565786049183,0.0,317.0565786049183
A11,'Rosegg',9.04,2.0,0.0,9108.5,4306.5,4802.0,19444.03423128799,7806.040740767851,11637.99349052014,1.0,2.0,1.0,1.0,97.22017115643996,39.030203703839256,58.189967452600705,0.0,0.0,0.0,0.0,0.0,0.0
A12,'Angath Süd',14.1,2.0,0.0,39222.99999999994,19907.99999999997,19314.99999999997,56148.10872631689,56144.28825076325,3.820475553634762,0.0,1.0,0.0,1.0,0.01910237776817381,0.0,0.01910237776817381,0.0,0.0,0.0,280.7214412538163,280.7214412538163,0.0
A12,'Angath Nord',14.22,2.0,0.0,39222.99999999994,19907.99999999997,19314.99999999997,86003.9180407436,3.93776998818332,85999.98027075542,0.0,1.0,-0.0,1.0,796.307175174409,0.0,796.307175174409,647.0287150744482,280.7214412538163,366.30727382063196,280.7411301037572,280.7411301037572,0.0
A12,'Münster Nord',35.71,0.0,1.0,18334.0,18334.0,0.0,79565.35290639894,79565.35290639894,0.0,1.0,1.0,1.0,0.0,138.17986903433814,138.17986903433814,0.0,280.7411301037572,280.7411301037572,0.0,540.3880256014138,540.3880256014138,0.0
A12,'Münster Süd',36.25,1.0,1.0,18162.0,0.0,18162.0,51027.0984567292,0.0,51027.0984567292,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,111.17178153698593,0.0,111.17178153698593,366.30727382063196,0.0,366.30727382063196
A12,'Vomp',50.47,1.0,0.0,24431.999999991072,0.0,24431.999999991072,22234.356307397185,0.0,22234.356307397185,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.17178153698593,0.0,111.17178153698593
A12,'Weer',54.8,0.0,0.0,24110.000189607712,24110.000189607712,0.0,91922.39487971723,91922.39487971723,0.0,1.0,1.0,1.0,0.0,1000.0,1000.0,0.0,540.3880256014138,540.3880256014138,0.0,0.0,0.0,0.0
A12,'Weer Süd',55.0,1.0,1.0,24141.001987531265,0.0,24141.001987531265,197089.950526282,0.0,197089.950526282,1.0,1.0,0.0,1.0,985.44975263141,0.0,985.44975263141,0.0,0.0,0.0,0.0,0.0,0.0
A12,'Ampaß',72.07,0.0,0.0,35539.999996608014,35539.999996608014,0.0,123154.22328142951,123154.22328142951,0.0,1.0,1.0,1.0,0.0,615.7711164071476,615.7711164071476,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A12,'Zirl-Inzing',91.77,0.0,1.0,20799.0,20799.0,0.0,82023.58476167452,82023.58476167452,0.0,1.0,1.0,1.0,0.0,410.1179238083726,410.1179238083726,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A12,'Pettnau',95.81,2.0,0.0,37922.0,18889.0,19033.0,165593.5507511032,14638.245573299051,150955.30517780414,0.0,1.0,0.0,1.0,847.2208880578406,0.0,847.2208880578406,92.44436216881992,0.0,92.44436216881992,73.19122786649496,73.19122786649496,0.0
A12,'Mils',135.51,2.0,0.0,19502.000000000833,10262.00000000003,9240.000000000804,99879.26500112754,81390.39256736355,18488.872433763983,1.0,1.0,1.0,-0.0,480.1431907033127,480.1431907033127,0.0,73.19122786649496,73.19122786649496,0.0,92.44436216881992,0.0,92.44436216881992
A13,'Europabrücke',8.27,2.0,0.0,41638.0,21023.0,20615.0,70370.3325587005,34547.02051314864,35823.31204555185,0.0,1.0,-0.0,1.0,422.1449699278228,0.0,422.1449699278228,243.02840970006352,0.0,243.02840970006352,172.73510256574318,172.73510256574318,0.0
A13,'Matrei West',16.79,0.0,0.0,15161.0,15161.0,0.0,25846.426928735076,25846.426928735076,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,172.73510256574318,172.73510256574318,0.0,301.96723720941856,301.96723720941856,0.0
A13,'Matrei Ost',16.95,2.0,0.0,29983.0,15161.0,14822.0,36929.252580801745,499.30355502003806,36429.94902578171,0.0,0.0,-0.0,-0.0,0.0,0.0,0.0,362.8459017805735,301.96723720941856,60.878664571154985,547.4921646845822,304.46375498451874,243.02840970006352
A13,'Nößlach',26.91,2.0,1.0,12027.916375220364,12027.916375220364,0.0,26003.24170150209,26003.24170150209,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,304.46375498451874,304.46375498451874,0.0,434.47996349202924,434.47996349202924,0.0
A13,'Gries Ost',29.15,1.0,0.0,11601.99774413572,0.0,11601.99774413572,11387.01827145676,0.0,11387.01827145676,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,3.943573213871183,0.0,3.943573213871183,60.878664571154985,0.0,60.878664571154985
A13,'Gries West',29.54,0.0,0.0,12036.99974796117,12036.99974796117,0.0,4238.013247571624,4238.013247571624,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,434.47996349202924,434.47996349202924,0.0,455.67002972988735,455.67002972988735,0.0
A13,'Brennersee',33.44,0.0,0.0,12037.0,12037.0,0.0,9408.316380843364,9408.316380843364,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,455.67002972988735,455.67002972988735,0.0,502.71161163410414,502.71161163410414,0.0
A13,'Brennerpaß',34.16,2.0,0.0,23639.0,12037.0,11602.0,2518.3592467820863,1729.6446040078497,788.7146427742366,1.0,1.0,1.0,-0.0,511.3598346541434,511.3598346541434,0.0,502.71161163410414,502.71161163410414,0.0,3.943573213871183,0.0,3.943573213871183
A14,'Hörbranz’,0.0,2.0,1.0,11914.47538487758,11914.47538487758,0.0,580.5002038524873,580.5002038524873,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.902501019262445,2.902501019262445,0.0
A14,'Hohenems',24.48,2.0,0.0,53333.40958305029,26852.092271153047,26481.317311897245,325972.7230756362,129158.23498549042,196814.48809014575,1.0,2.0,1.0,1.0,1632.7661163974433,648.6936759467145,984.0724404507288,2.902501019262445,2.902501019262445,0.0,0.0,0.0,0.0
A2,'Guntramsdorf',14.43,2.0,0.0,106539.0608322543,54671.885978190505,51867.17485406379,341487.5079237672,158457.9372379927,183029.57068577447,0.0,2.0,-0.0,2.0,1199.861588408896,0.0,1199.861588408896,284.7137349800237,0.0,284.7137349800237,792.2896861899635,792.2896861899635,0.0
A2,'Triestingtal',32.08,0.0,1.0,40445.0,40445.0,0.0,143069.6923848394,143069.6923848394,0.0,1.0,1.0,1.0,0.0,840.8129874234972,840.8129874234972,0.0,792.2896861899635,792.2896861899635,0.0,666.8251606906633,666.8251606906633,0.0
A2,'Leobersdorf',32.08,1.0,1.0,39540.0,0.0,39540.0,56942.74699600472,0.0,56942.74699600472,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,284.7137349800237,0.0,284.7137349800237
A2,'Föhrenberg',39.31,1.0,0.0,39539.98215618593,0.0,39539.98215618593,93778.97588690832,0.0,93778.97588690832,1.0,1.0,0.0,1.0,1000.0,0.0,1000.0,531.1051205654585,0.0,531.1051205654585,0.0,0.0,0.0
A2,'Bad Fischau',40.93,0.0,0.0,37535.00000001001,37535.00000001001,0.0,66634.96786186735,66634.96786186735,0.0,1.0,1.0,1.0,0.0,1000.0,1000.0,0.0,666.8251606906633,666.8251606906633,0.0,0.0,0.0,0.0
A2,'Steinfeld',50.35,0.0,1.0,32434.00031526797,32434.00031526797,0.0,59928.40402750363,59928.40402750363,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,299.64202013751816,299.64202013751816,0.0
A2,'Wr. Neustadt',51.18,1.0,1.0,31158.00000000052,0.0,31158.00000000052,172010.8435859857,0.0,172010.8435859857,1.0,1.0,0.0,1.0,1000.0,0.0,1000.0,671.05090263553,0.0,671.05090263553,531.1051205654585,0.0,531.1051205654585
A2,'Zöbern',78.76,2.0,0.0,34076.0,17853.0,16223.0,127688.39957479399,101778.6326400082,25909.766934785785,0.0,1.0,-0.0,1.0,999.9999999999999,0.0,999.9999999999999,1841.144088099119,299.64202013751816,1541.502067961601,1479.5860859730892,808.5351833375591,671.05090263553
A2,'Schäffern Ost',86.7,1.0,1.0,16223.0,0.0,16223.0,61123.2530374171,0.0,61123.2530374171,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,1235.8858027745155,0.0,1235.8858027745155,1541.502067961601,0.0,1541.502067961601
A2,'Loipersdorf',105.5,2.0,0.0,27899.0,14612.0,13287.0,154018.46142676251,78390.34012413416,75628.12130262834,1.0,1.0,1.0,0.0,1000.0,1000.0,0.0,1666.280379598933,808.5351833375591,857.7451962613738,1436.3726867327455,200.48688395823,1235.8858027745155
A2,'Hainersdorf',133.87,0.0,1.0,16034.999999999998,16034.999999999998,0.0,90554.39668407534,90554.39668407534,0.0,1.0,1.0,1.0,0.0,653.2588673786067,653.2588673786067,0.0,200.48688395823,200.48688395823,0.0,0.0,0.0,0.0
A2,'Bad Blumau',134.06,1.0,1.0,14879.0,0.0,14879.0,59355.30955245131,0.0,59355.30955245131,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,560.9686484991173,0.0,560.9686484991173,857.7451962613738,0.0,857.7451962613738
A2,'Arnwiesen',154.1,2.0,0.0,36495.0010822289,19529.0004964994,16966.000585729496,135214.80430038154,78775.931104602,56438.87319577954,1.0,1.0,1.0,-0.0,393.87965552301,393.87965552301,0.0,278.77428252021963,0.0,278.77428252021963,560.9686484991173,0.0,560.9686484991173
A2,'Laßnitzhöhe Nord',170.16,0.0,1.0,27470.0,27470.0,0.0,89210.41764080411,89210.41764080411,0.0,1.0,1.0,1.0,0.0,446.05208820402055,446.05208820402055,0.0,0.0,0.0,0.0,0.0,0.0,0.0
A2,'Laßnitzhöhe Süd',170.65,1.0,1.0,29743.0,0.0,29743.0,119872.94775894134,0.0,119872.94775894134,1.0,1.0,0.0,1.0,718.5317319672192,0.0,718.5317319672192,397.94127569273223,0.0,397.94127569273223,278.77428252021963,0.0,278.77428252021963
