highway,name,asfinag_position,direction,asfinag_type,traffic_flow,traffic_flow_0,traffic_flow_1,energy_demand,energy_demand_0,energy_demand_1,pXi_dir,pYi_dir,pYi_dir_0,pYi_dir_1,pE_charged,pE_charged_0,pE_charged_1,pE_input,pE_input_0,pE_input_1,pE_output,pE_output_0,pE_output_1
A1,'Steinhäusl',32.7,2.0,0.0,63195.9999999991,31485.9999999993,31709.9999999998,117655.82716694953,85223.0128830256,32432.814283923934,1.0,10000.0,9999.0,1.0,500000.0,499950.0,50.0,14999691.767658934,7999757.44189173,6999934.325767203,14499756.478363875,7499854.314548816,6999902.16381506
A1,'Kesselhof',44.88,1.0,1.0,30234.9999967191,0.0,30234.9999967191,10913.0955699818,0.0,10913.0955699818,1.0,10000.0,0.0,10000.0,500000.0,0.0,500000.0,6999902.16381506,0.0,6999902.16381506,6499908.166017624,0.0,6499908.166017624
A1,'Kirchstetten',44.88,0.0,1.0,29897.9999954276,29897.9999954276,0.0,7273.2080942762805,7273.2080942762805,0.0,1.0,10000.0,10000.0,0.0,500000.0,500000.0,0.0,7499854.314548816,7499854.314548816,0.0,6999858.314813267,6999858.314813267,0.0
A1,'St. Pölten',62.9,2.0,1.0,71148.0,35583.0,35565.0,22745.48494341069,12842.2417400266,9903.24320338409,1.0,10000.0,9999.0,1.0,500000.0,499950.0,50.0,13499766.480830891,6999858.314813267,6499908.166017624,12999778.99084761,6499915.378046225,6499863.612801385
A1,'Schallaburg',76.81,1.0,1.0,29188.0,0.0,29188.0,13693.436037638901,0.0,13693.436037638901,1.0,10000.0,0.0,10000.0,500000.0,0.0,500000.0,6499863.612801385,0.0,6499863.612801385,5999871.1441912055,0.0,5999871.1441912055
A1,'Roggendorf',76.82,0.0,1.0,28377.0,28377.0,0.0,7856.23321961741,7856.23321961741,0.0,1.0,10000.0,10000.0,0.0,500000.0,500000.0,0.0,6499915.378046225,6499915.378046225,0.0,5999919.698974496,5999919.698974496,0.0
A1,'Ornding',88.04,0.0,1.0,27048.0,27048.0,0.0,6048.807492270461,6048.807492270461,0.0,1.0,10000.0,10000.0,0.0,500000.0,500000.0,0.0,5999919.698974496,5999919.698974496,0.0,5499923.025818616,5499923.025818616,0.0
A1,'Ybbs',100.32,1.0,0.0,27161.4044508388,0.0,27161.4044508388,10412.9250667749,0.0,10412.9250667749,1.0,10000.0,0.0,10000.0,500000.0,0.0,500000.0,5999871.1441912055,0.0,5999871.1441912055,5499876.871299992,0.0,5499876.871299992
A1,'Kemmelbach',101.38,0.0,0.0,26898.0000000002,26898.0000000002,0.0,7222.610016870651,7222.610016870651,0.0,1.0,10000.0,10000.0,0.0,500000.0,500000.0,0.0,5499923.025818616,5499923.025818616,0.0,4999926.998254125,4999926.998254125,0.0
A1,'Viehdorf',118.17,0.0,1.0,25545.0,25545.0,0.0,9211.75706346928,9211.75706346928,0.0,1.0,10000.0,10000.0,0.0,500000.0,500000.0,0.0,4999926.998254125,4999926.998254125,0.0,4499932.06472051,4499932.06472051,0.0
A1,'Amstetten',119.36,1.0,1.0,25407.0,0.0,25407.0,5612.853142795881,0.0,5612.853142795881,1.0,10000.0,0.0,10000.0,500000.0,0.0,500000.0,5499876.871299992,0.0,5499876.871299992,4999879.958369221,0.0,4999879.958369221
