segment_id,dir,type_ID,POI_ID,traffic_flow,traffic_flow_0,traffic_flow_1,energy_demand,energy_demand_0,energy_demand_1,dist_along_segment,pois_type,pYi_dir,pYi_dir_0,pYi_dir_1,pE_charged,pE_charged_0,pE_charged_1,pE_input,pE_input_0,pE_input_1,pE_output,pE_output_0,pE_output_1,not_covered,not_covered_0,not_covered_1,pXi
0.0,2.0,0.0,0.0,26540.636112053,13243.0239038645,13297.6122081885,4423.92123143818,0.0,4423.92123143818,0.0,link,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.89835702144879,0.0,36.89835702144879,0.0,0.0,0.0,0
0.0,2.0,1.0,1.0,26594.7769799282,13269.4415749127,13325.3354050155,810.003976920776,31.774775427221,778.229201493555,239.715824101164,ra,3.0,0.0,3.0,229.33303703685445,0.0,229.33303703685445,222.84210344672562,0.0,222.84210344672562,0.2650221255428657,0.2650221255428657,0.0,0.0,0.0,0.0,1
0.0,2.0,0.0,2.0,45891.0713847726,24132.5354848012,21758.5358999714,10453.07839190074,5371.86342144895,5081.21497045179,24427.462160298,ra,0.0,-0.0,0.0,0.0,0.0,0.0,180.72651473541828,0.2650221255428657,180.46149260987542,267.9119319929848,45.06982854625921,222.84210344672562,0.0,0.0,0.0,0
0.0,1.0,2.0,3.0,5594.60627343411,0.0,5594.60627343411,2065.98540498995,0.0,2065.98540498995,68504.6013106114,ra,0.0,0.0,-0.0,0.0,0.0,0.0,163.22984152786927,0.0,163.22984152786927,180.46149260987542,0.0,180.46149260987542,0.0,0.0,0.0,0
0.0,0.0,3.0,4.0,4553.08388931748,4553.08388931748,0.0,7187.4483251383,7187.4483251383,0.0,79329.1374904099,ra,0.0,-0.0,0.0,0.0,0.0,0.0,45.06982854625921,45.06982854625921,0.0,105.01778433026199,105.01778433026199,0.0,0.0,0.0,0.0,0
0.0,2.0,4.0,5.0,7895.539602766939,4645.32330643337,3250.21629633357,2342.9750495919798,1038.66179081139,1304.31325878059,104473.71241617,ra,0.0,-0.0,0.0,0.0,0.0,0.0,257.3688118439292,105.01778433026199,152.35102751366725,276.91073525292416,113.68089372505491,163.22984152786927,0.0,0.0,0.0,0
0.0,2.0,5.0,6.0,19815.36822147166,9562.72950758806,10252.6387138836,7959.02626511719,2076.95503589247,5882.07122922472,133409.21035476,ra,0.0,0.0,-0.0,0.0,0.0,0.0,216.97165255691107,113.68089372505491,103.29075883185615,283.35506611916173,131.00403860549451,152.35102751366725,0.0,0.0,0.0,0
0.0,2.0,6.0,7.0,38420.413170467305,19234.6634945469,19185.7496759204,10291.73164091456,4957.10120865155,5334.63043226301,173065.413799776,ra,0.0,0.0,-0.0,0.0,0.0,0.0,189.8005381661169,131.00403860549451,58.79649956062238,275.64021943276396,172.34946060090783,103.29075883185615,0.0,0.0,0.0,0
0.0,1.0,7.0,8.0,21229.4573799075,0.0,21229.4573799075,31.9071906889248,0.0,31.9071906889248,176940.22069629,ra,0.0,0.0,-0.0,0.0,0.0,0.0,58.53037300637344,0.0,58.53037300637344,58.79649956062238,0.0,58.79649956062238,0.0,0.0,0.0,0
0.0,2.0,0.0,9.0,50605.7308716768,25638.9023938735,24966.8284778033,5210.17855174236,5210.17855174236,0.0,194059.964946131,link,0.0,0.0,0.0,0.0,0.0,0.0,230.87983360728128,172.34946060090783,58.53037300637344,274.3360839088235,215.80571090245007,58.53037300637344,0.0,0.0,0.0,0
1.0,2.0,0.0,10.0,41635.2696746832,21021.6267553003,20613.6429193829,39.7761865009555,0.0,39.7761865009555,0.0,link,0.0,0.0,0.0,0.0,0.0,0.0,159.60126327214198,116.5749194011319,43.02634387101009,159.93302232789418,116.5749194011319,43.35810292676228,0.0,0.0,0.0,0
1.0,2.0,8.0,11.0,39859.9435983602,20128.7100274165,19731.2335709437,2276.328443367862,1715.72731424055,560.601129127312,8218.21591932416,ra,0.0,-0.0,0.0,0.0,0.0,0.0,154.92548820133624,116.5749194011319,38.35056880020435,173.91153591949617,130.8851920484861,43.02634387101009,0.0,0.0,0.0,0
1.0,0.0,9.0,12.0,15021.9786197919,15021.9786197919,0.0,1426.84265640488,1426.84265640488,0.0,16747.0640478161,ra,0.0,-0.0,0.0,0.0,0.0,0.0,130.8851920484861,130.8851920484861,0.0,142.78598028479564,142.78598028479564,0.0,0.0,0.0,0.0,0
1.0,2.0,10.0,13.0,29629.2702066633,14994.1517039878,14635.1185026755,191.32891529796441,24.7111120586864,166.617803239278,16911.7407621753,ra,0.0,0.0,-0.0,0.0,0.0,0.0,179.74684911783902,142.78598028479564,36.96086883304337,181.34265570115284,142.9920869009485,38.35056880020435,0.0,0.0,0.0,0
