Unnamed: 0,[km],Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Kfz/24h,Kfz/24h.1,Kfz/24h.2,Kfz/24h.3,Kfz/24h.4,Kfz/24h.5,Kfz/24h.6,Unnamed: 14,Unnamed: 15
A01,15.891,Pressbaum,955,Wien Auhof - Preßbaum,Staatsgrenze Walserberg,Kfz,13604.0,14027.0,12634.0,13759.0,15787.0,13339.0,12092.0,Messung,
A01,15.891,Pressbaum,955,Wien Auhof - Preßbaum,Staatsgrenze Walserberg,"Kfz > 3,5t hzG",248.387096774194,321.380952380952,344.75,332.416666666667,276.2,99.8,90.4,Messung,
A01,15.891,Pressbaum,955,Wien Auhof - Preßbaum,Staatsgrenze Walserberg,"Kfz <= 3,5t hzG",13356.1612903226,13706.380952381,12289.5,13426.75,15511.0,13239.8,12001.6,Messung,
A01,15.891,Pressbaum,955,Preßbaum - Wien Auhof,Wien/Auhof,Kfz,14025.0,14106.0,14189.0,14042.0,14194.0,12568.0,15143.0,Messung,
A01,15.891,Pressbaum,955,Preßbaum - Wien Auhof,Wien/Auhof,"Kfz > 3,5t hzG",313.870967741935,403.047619047619,419.0,415.583333333333,360.2,159.0,94.2,Messung,
A01,15.891,Pressbaum,955,Preßbaum - Wien Auhof,Wien/Auhof,"Kfz <= 3,5t hzG",13711.5806451613,13703.1904761905,13770.0,13626.4166666667,13834.0,12409.4,15049.0,Messung,
A01,15.891,Pressbaum,955,gesamt,gesamt,Kfz,27629.0,28133.0,26823.0,27801.0,29981.0,25907.0,27235.0,Messung,
A01,15.891,Pressbaum,955,gesamt,gesamt,"Kfz > 3,5t hzG",562.258064516129,724.428571428571,763.75,748.0,636.4,258.8,184.6,Messung,
A01,15.891,Pressbaum,955,gesamt,gesamt,"Kfz <= 3,5t hzG",27067.7419354839,27409.5714285714,26059.5,27053.1666666667,29345.0,25649.2,27050.6,Messung,
A01,26.833,Kn. Steinhäusl,751,Preßbaum - Kn. Steinhäusl,Staatsgrenze Walserberg,Kfz,12897.0,13164.0,11645.0,12862.0,15103.0,12824.0,11848.0,Messung,
A01,26.833,Kn. Steinhäusl,751,Preßbaum - Kn. Steinhäusl,Staatsgrenze Walserberg,"Kfz > 3,5t hzG",309.387096774194,409.857142857143,434.75,428.833333333333,344.4,104.6,92.2,Messung,
A01,26.833,Kn. Steinhäusl,751,Preßbaum - Kn. Steinhäusl,Staatsgrenze Walserberg,"Kfz <= 3,5t hzG",12587.6774193548,12754.1428571429,11210.5,12433.5,14758.6,12720.2,11756.0,Messung,
A01,26.833,Kn. Steinhäusl,751,Kn. Steinhäusl - Preßbaum,Wien/Auhof,Kfz,14369.0,14232.0,14457.0,14120.0,14320.0,13054.0,16264.0,"0,5 % Tage geschätzt",
A01,26.833,Kn. Steinhäusl,751,Kn. Steinhäusl - Preßbaum,Wien/Auhof,"Kfz > 3,5t hzG",381.451612903226,501.47619047619,514.75,525.5,433.2,162.2,96.6,Messung,
A01,26.833,Kn. Steinhäusl,751,Kn. Steinhäusl - Preßbaum,Wien/Auhof,"Kfz <= 3,5t hzG",13988.4838709677,13730.5238095238,13942.25,13594.8333333333,13886.8,12892.2,16168.2,"0,5 % Tage geschätzt",
A01,26.833,Kn. Steinhäusl,751,gesamt,gesamt,Kfz,27266.0,27396.0,26102.0,26982.0,29423.0,25878.0,28112.0,"0,2 % Tage geschätzt",
A01,26.833,Kn. Steinhäusl,751,gesamt,gesamt,"Kfz > 3,5t hzG",690.838709677419,911.333333333333,949.5,954.333333333333,777.6,266.8,188.8,Messung,
A01,26.833,Kn. Steinhäusl,751,gesamt,gesamt,"Kfz <= 3,5t hzG",26576.1612903226,26484.6666666667,25152.75,26028.3333333333,28645.4,25612.4,27924.2,"0,2 % Tage geschätzt",
A01,33.195,Altlengbach,385,Kn. Steinhäusl - Altlengbach,Staatsgrenze Walserberg,Kfz,45548.0,44065.0,45151.0,42300.0,47431.0,47088.0,50236.0,Messung,
A01,33.195,Altlengbach,385,Kn. Steinhäusl - Altlengbach,Staatsgrenze Walserberg,"Kfz > 3,5t hzG",4147.32258064516,5563.61904761905,7219.5,5580.41666666667,4198.6,1487.8,858.4,Messung,
A01,33.195,Altlengbach,385,Kn. Steinhäusl - Altlengbach,Staatsgrenze Walserberg,"Kfz <= 3,5t hzG",41400.8064516129,38501.380952381,37931.75,36719.6666666667,43233.2,45601.0,49378.2,Messung,
A01,33.195,Altlengbach,385,Altlengbach - Kn. Steinhäusl,Wien/Auhof,Kfz,42635.0,42353.0,37174.0,41241.0,49165.0,44989.0,41466.0,Messung,
A01,33.195,Altlengbach,385,Altlengbach - Kn. Steinhäusl,Wien/Auhof,"Kfz > 3,5t hzG",4415.64516129032,5784.61904761905,4637.0,6072.25,6012.4,2381.8,699.8,Messung,
A01,33.195,Altlengbach,385,Altlengbach - Kn. Steinhäusl,Wien/Auhof,"Kfz <= 3,5t hzG",38220.0322580645,36569.0,32537.5,35169.5833333333,43152.8,42607.6,40766.8,Messung,
A01,33.195,Altlengbach,385,gesamt,gesamt,Kfz,88183.0,86418.0,82325.0,83541.0,96596.0,92077.0,91702.0,Messung,
A01,33.195,Altlengbach,385,gesamt,gesamt,"Kfz > 3,5t hzG",8562.96774193548,11348.2380952381,11856.5,11652.6666666667,10211.0,3869.6,1558.2,Messung,
A01,33.195,Altlengbach,385,gesamt,gesamt,"Kfz <= 3,5t hzG",79620.8387096774,75070.3809523809,70469.25,71889.25,86386.0,88208.6,90145.0,Messung,
A01,37.81,HASt St. Christophen,754,Altlengbach - St. Christophen,Staatsgrenze Walserberg,Kfz,43014.0,41405.0,42416.0,39668.0,44767.0,44551.0,48234.0,7 % Tage geschätzt,
A01,37.81,HASt St. Christophen,754,Altlengbach - St. Christophen,Staatsgrenze Walserberg,"Kfz > 3,5t hzG",4028.67741935484,5392.09523809524,7009.0,5405.08333333333,4067.4,1480.4,850.6,Messung,
A01,37.81,HASt St. Christophen,754,Altlengbach - St. Christophen,Staatsgrenze Walserberg,"Kfz <= 3,5t hzG",38985.6774193548,36013.619047619,35407.0,34263.3333333333,40699.6,43070.6,47383.4,7 % Tage geschätzt,
A01,37.81,HASt St. Christophen,754,St. Christophen - Altlengbach,Wien/Auhof,Kfz,41877.0,41236.0,34709.0,40310.0,48681.0,45025.0,41420.0,Messung,
A01,37.81,HASt St. Christophen,754,St. Christophen - Altlengbach,Wien/Auhof,"Kfz > 3,5t hzG",4300.93548387097,5620.04761904762,4465.75,5898.58333333333,5875.0,2363.0,698.6,Messung,
A01,37.81,HASt St. Christophen,754,St. Christophen - Altlengbach,Wien/Auhof,"Kfz <= 3,5t hzG",37576.6451612903,35616.8095238095,30243.25,34412.25,42806.6,42662.6,40722.0,Messung,
A01,37.81,HASt St. Christophen,754,gesamt,gesamt,Kfz,84891.0,82641.0,77125.0,79978.0,93448.0,89576.0,89654.0,"3,5 % Tage geschätzt",
A01,37.81,HASt St. Christophen,754,gesamt,gesamt,"Kfz > 3,5t hzG",8329.61290322581,11012.1428571429,11474.75,11303.6666666667,9942.4,3843.4,1549.2,Messung,
A01,37.81,HASt St. Christophen,754,gesamt,gesamt,"Kfz <= 3,5t hzG",76562.3225806452,71630.4285714286,65650.25,68675.5833333333,83506.2,85733.2,88105.4,"3,5 % Tage geschätzt",
A01,44.4,Sichelbach,403,St. Christophen - Böheimkirchen,Staatsgrenze Walserberg,Kfz,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Ausfall,
A01,44.4,Sichelbach,403,St. Christophen - Böheimkirchen,Staatsgrenze Walserberg,"Kfz > 3,5t hzG",4139.1935483871,5552.38095238095,7208.0,5568.83333333333,4188.4,1495.6,847.4,Messung,
A01,44.4,Sichelbach,403,St. Christophen - Böheimkirchen,Staatsgrenze Walserberg,"Kfz <= 3,5t hzG",-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Ausfall,
A01,44.4,Sichelbach,403,Böheimkirchen - St. Christophen,Wien/Auhof,Kfz,40553.0,40253.0,35346.0,39044.0,47080.0,42848.0,39520.0,Messung,
A01,44.4,Sichelbach,403,Böheimkirchen - St. Christophen,Wien/Auhof,"Kfz > 3,5t hzG",4401.54838709677,5764.2380952381,4633.25,6048.25,5987.4,2366.8,713.0,Messung,
A01,44.4,Sichelbach,403,Böheimkirchen - St. Christophen,Wien/Auhof,"Kfz <= 3,5t hzG",36151.8709677419,34488.8571428571,30712.75,32995.75,41093.2,40481.2,38807.2,Messung,
A01,44.4,Sichelbach,403,gesamt,gesamt,Kfz,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Ausfall,
A01,44.4,Sichelbach,403,gesamt,gesamt,"Kfz > 3,5t hzG",8540.74193548387,11316.619047619,11841.25,11617.0833333333,10175.8,3862.4,1560.4,Messung,
A01,44.4,Sichelbach,403,gesamt,gesamt,"Kfz <= 3,5t hzG",-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Ausfall,
A01,50.285,St. Pölten/A1,409,Böheimkirchen - Kn. St. Pölten,Staatsgrenze Walserberg,Kfz,45805.0,44467.0,45378.0,42698.0,47981.0,47115.0,50116.0,Messung,
A01,50.285,St. Pölten/A1,409,Böheimkirchen - Kn. St. Pölten,Staatsgrenze Walserberg,"Kfz > 3,5t hzG",4137.67741935484,5542.80952380952,7149.25,5575.75,4178.6,1533.4,840.4,Messung,
A01,50.285,St. Pölten/A1,409,Böheimkirchen - Kn. St. Pölten,Staatsgrenze Walserberg,"Kfz <= 3,5t hzG",41667.6129032258,38924.2380952381,38229.5,37123.0,43803.0,45581.8,49275.6,Messung,
A01,50.285,St. Pölten/A1,409,Kn. St. Pölten - Böheimkirchen,Wien/Auhof,Kfz,43396.0,43162.0,37851.0,42008.0,50179.0,45718.0,42061.0,Messung,
A01,50.285,St. Pölten/A1,409,Kn. St. Pölten - Böheimkirchen,Wien/Auhof,"Kfz > 3,5t hzG",4404.09677419355,5766.57142857143,4637.5,6055.75,5975.8,2368.4,717.4,Messung,
A01,50.285,St. Pölten/A1,409,Kn. St. Pölten - Böheimkirchen,Wien/Auhof,"Kfz <= 3,5t hzG",38992.8709677419,37395.5238095238,33214.25,35952.6666666667,44203.4,43350.2,41344.4,Messung,
A01,50.285,St. Pölten/A1,409,gesamt,gesamt,Kfz,89201.0,87629.0,83229.0,84706.0,98160.0,92833.0,92177.0,Messung,
A01,50.285,St. Pölten/A1,409,gesamt,gesamt,"Kfz > 3,5t hzG",8541.77419354839,11309.380952381,11786.75,11631.5,10154.4,3901.8,1557.8,Messung,
A01,50.285,St. Pölten/A1,409,gesamt,gesamt,"Kfz <= 3,5t hzG",80660.4838709677,76319.7619047619,71443.75,73075.6666666667,88006.4,88932.0,90620.0,Messung,
A01,56.5,St. Pölten Süd/A1,415,Kn. St. Pölten - St. Pölten Süd,Staatsgrenze Walserberg,Kfz,50376.0,49291.0,51170.0,47276.0,52624.0,50731.0,54578.0,Messung,
A01,56.5,St. Pölten Süd/A1,415,Kn. St. Pölten - St. Pölten Süd,Staatsgrenze Walserberg,"Kfz > 3,5t hzG",4984.22580645161,6747.85714285714,8511.5,6862.25,5062.4,1648.4,912.8,Messung,
A01,56.5,St. Pölten Süd/A1,415,Kn. St. Pölten - St. Pölten Süd,Staatsgrenze Walserberg,"Kfz <= 3,5t hzG",45392.2580645161,42543.6666666667,42658.5,40414.3333333333,47562.2,49083.2,53665.4,Messung,
A01,56.5,St. Pölten Süd/A1,415,St. Pölten Süd - Kn. St. Pölten,Wien/Auhof,Kfz,48245.0,48273.0,42162.0,47173.0,55803.0,50019.0,46353.0,Messung,
A01,56.5,St. Pölten Süd/A1,415,St. Pölten Süd - Kn. St. Pölten,Wien/Auhof,"Kfz > 3,5t hzG",5282.74193548387,7000.47619047619,5779.25,7397.41666666667,7024.8,2553.6,797.4,Messung,
A01,56.5,St. Pölten Süd/A1,415,St. Pölten Süd - Kn. St. Pölten,Wien/Auhof,"Kfz <= 3,5t hzG",42962.8064516129,41273.0952380952,36382.75,39776.0,48778.4,47466.2,45556.2,Messung,
A01,56.5,St. Pölten Süd/A1,415,gesamt,gesamt,Kfz,98621.0,97564.0,93332.0,94449.0,108427.0,100750.0,100931.0,Messung,
A01,56.5,St. Pölten Süd/A1,415,gesamt,gesamt,"Kfz > 3,5t hzG",10266.9677419355,13748.3333333333,14290.75,14259.6666666667,12087.2,4202.0,1710.2,Messung,
A01,56.5,St. Pölten Süd/A1,415,gesamt,gesamt,"Kfz <= 3,5t hzG",88355.064516129,83816.7619047619,79041.25,80190.3333333333,96340.6,96549.4,99221.6,Messung,
A01,67.35,Poppendorf,423,St. Pölten Süd - Loosdorf,Staatsgrenze Walserberg,Kfz,43118.0,41442.0,43198.0,39481.0,44743.0,44240.0,49033.0,"0,3 % Tage geschätzt",
A01,67.35,Poppendorf,423,St. Pölten Süd - Loosdorf,Staatsgrenze Walserberg,"Kfz > 3,5t hzG",4665.1935483871,6295.61904761905,7898.5,6436.83333333333,4674.4,1620.4,862.2,Messung,
A01,67.35,Poppendorf,423,St. Pölten Süd - Loosdorf,Staatsgrenze Walserberg,"Kfz <= 3,5t hzG",38452.8064516129,35146.5714285714,35300.25,33044.1666666667,40069.4,42620.4,48171.4,"0,3 % Tage geschätzt",
A01,67.35,Poppendorf,423,Loosdorf - St. Pölten Süd,Wien/Auhof,Kfz,41674.0,41409.0,35309.0,40475.0,48533.0,43808.0,40654.0,Messung,
A01,67.35,Poppendorf,423,Loosdorf - St. Pölten Süd,Wien/Auhof,"Kfz > 3,5t hzG",4944.87096774194,6522.2380952381,5199.0,6938.16666666667,6582.6,2551.6,713.2,Messung,
A01,67.35,Poppendorf,423,Loosdorf - St. Pölten Süd,Wien/Auhof,"Kfz <= 3,5t hzG",36730.064516129,34887.6666666667,30110.0,33537.4166666667,41950.4,41256.6,39941.6,Messung,
A01,67.35,Poppendorf,423,gesamt,gesamt,Kfz,84792.0,82851.0,78507.0,79956.0,93276.0,88048.0,89687.0,"0,1 % Tage geschätzt",
