Unnamed: 0,[km],Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Kfz/24h,Kfz/24h.1,Kfz/24h.2,Kfz/24h.3,Kfz/24h.4,Kfz/24h.5,Kfz/24h.6,Unnamed: 14,Unnamed: 15
A01,33.195,Altlengbach,385,gesamt,gesamt,"Kfz > 3,5t hzG",9656.74193548387,12766.7142857143,13289.25,13271.0833333333,11138.2,4879.6,1372.0,Messung,
A01,33.195,Altlengbach,385,gesamt,gesamt,"Kfz <= 3,5t hzG",61315.8709677419,61134.2380952381,58048.0,58643.0833333333,69582.0,57814.8,65579.8,"1,3 % Tage geschätzt",
A01,37.81,HASt St. Christophen,754,Altlengbach - St. Christophen,Staatsgrenze Walserberg,Kfz,34160.0,35172.0,36755.0,34366.0,35841.0,28625.0,35445.0,5 % Tage geschätzt,
A01,37.81,HASt St. Christophen,754,Altlengbach - St. Christophen,Staatsgrenze Walserberg,"Kfz > 3,5t hzG",4543.61290322581,6120.28571428571,7829.25,6317.66666666667,4279.4,1667.6,797.6,Messung,
A01,37.81,HASt St. Christophen,754,Altlengbach - St. Christophen,Staatsgrenze Walserberg,"Kfz <= 3,5t hzG",29616.935483871,29052.2380952381,28926.25,28048.4166666667,31562.2,26957.8,34647.8,5 % Tage geschätzt,
A01,37.81,HASt St. Christophen,754,St. Christophen - Altlengbach,Wien/Auhof,Kfz,36772.0,38293.0,33470.0,37060.0,45112.0,35971.0,31186.0,"0,6 % Tage geschätzt",
A01,37.81,HASt St. Christophen,754,St. Christophen - Altlengbach,Wien/Auhof,"Kfz > 3,5t hzG",4874.58064516129,6302.95238095238,5091.5,6588.58333333333,6586.6,3187.0,563.0,Messung,
A01,37.81,HASt St. Christophen,754,St. Christophen - Altlengbach,Wien/Auhof,"Kfz <= 3,5t hzG",31898.2580645161,31990.6666666667,28378.75,30471.5833333333,38526.0,32784.8,30623.6,"0,6 % Tage geschätzt",
A01,37.81,HASt St. Christophen,754,gesamt,gesamt,Kfz,70932.0,73465.0,70225.0,71426.0,80953.0,64596.0,66631.0,"2,8 % Tage geschätzt",
A01,37.81,HASt St. Christophen,754,gesamt,gesamt,"Kfz > 3,5t hzG",9418.1935483871,12423.2380952381,12920.75,12906.25,10866.0,4854.6,1360.6,Messung,
A01,37.81,HASt St. Christophen,754,gesamt,gesamt,"Kfz <= 3,5t hzG",61515.1935483871,61042.9047619048,57305.0,58520.0,70088.2,59742.6,65271.4,"2,8 % Tage geschätzt",
A01,44.4,Sichelbach,403,St. Christophen - Böheimkirchen,Staatsgrenze Walserberg,Kfz,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,Ausfall,
A01,44.4,Sichelbach,403,St. Christophen - Böheimkirchen,Staatsgrenze Walserberg,"Kfz > 3,5t hzG",4654.48387096774,6282.14285714286,8022.0,6483.75,4406.4,1683.2,789.6,Messung,
