,dist_range,nb_cs,nb_poles,costs,non_covered_energy,perc_not_charged,datetime_of_calculation
0,200.0,55.0,1214.0,75040000.0,7773.923238132167,0.05430857760824874,2022-01-20 15:45:26.261731
1,300.0,43.0,1214.0,74560000.0,7773.923238132167,0.05430857760824874,2022-01-20 15:53:36.353866
2,400.0,42.0,1213.0,74460000.0,7773.923238132167,0.05430857760824874,2022-01-20 16:03:49.784029
3,500.0,42.0,1213.0,74460000.0,7773.923238132167,0.05430857760824874,2022-01-20 16:20:40.247905
4,600.0,38.0,1213.0,74300000.0,7773.923238132167,0.05430857760824874,2022-01-20 16:38:38.054805
5,700.0,38.0,1213.0,74300000.0,7773.923238132167,0.05430857760824874,2022-01-20 17:02:20.098826
6,800.0,38.0,1214.0,74360000.0,7773.923238132167,0.05430857760824874,2022-01-20 17:22:51.130731
7,900.0,38.0,1213.0,74300000.0,7773.923238132167,0.05430857760824874,2022-01-20 17:44:24.008767
8,1000.0,38.0,1213.0,74300000.0,7773.923238132167,0.05430857760824874,2022-01-20 18:08:18.860463
9,1100.0,39.0,1213.0,74340000.0,7773.923238132167,0.05430857760824874,2022-01-20 19:21:40.369015
10,1200.0,39.0,1213.0,74340000.0,7773.923238132167,0.05430857760824874,2022-01-20 19:52:46.614072
11,1300.0,39.0,1213.0,74340000.0,7773.923238132167,0.05430857760824874,2022-01-20 20:23:19.197203
12,1400.0,39.0,1213.0,74340000.0,7773.923238132167,0.05430857760824874,2022-01-20 20:51:34.435548
