Unnamed: 0,[km],Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Kfz/24h,Kfz/24h.1,Kfz/24h.2,Kfz/24h.3,Kfz/24h.4,Kfz/24h.5,Kfz/24h.6,Unnamed: 14,Unnamed: 15
A01,37.81,HASt St. Christophen,754,Altlengbach - St. Christophen,Staatsgrenze Walserberg,Kfz,35814.0,35423.0,37144.0,34375.0,36771.0,34468.0,39652.0,"9,7% Tage geschätzt",
A01,37.81,HASt St. Christophen,754,Altlengbach - St. Christophen,Staatsgrenze Walserberg,"Kfz > 3,5t hzG",4588.0,5999.0,7939.0,6127.0,4114.0,1424.0,786.0,Messung,
A01,37.81,HASt St. Christophen,754,Altlengbach - St. Christophen,Staatsgrenze Walserberg,"Kfz <= 3,5t hzG",31226.0,29424.0,29205.0,28248.0,32657.0,33044.0,38866.0,"9,7% Tage geschätzt",
A01,37.81,HASt St. Christophen,754,St. Christophen - Altlengbach,Wien/Auhof,Kfz,45159.0,43374.0,35536.0,41640.0,54150.0,54698.0,43058.0,"32,3% Tage geschätzt",
A01,37.81,HASt St. Christophen,754,St. Christophen - Altlengbach,Wien/Auhof,"Kfz > 3,5t hzG",4864.0,6177.0,4941.0,6455.0,6446.0,2504.0,589.0,Messung,
A01,37.81,HASt St. Christophen,754,St. Christophen - Altlengbach,Wien/Auhof,"Kfz <= 3,5t hzG",40295.0,37197.0,30595.0,35185.0,47704.0,52194.0,42469.0,"32,3% Tage geschätzt",
A01,37.81,HASt St. Christophen,754,gesamt,gesamt,Kfz,80973.0,78797.0,72680.0,76015.0,90921.0,89166.0,82710.0,"32,3% Tage geschätzt",
A01,37.81,HASt St. Christophen,754,gesamt,gesamt,"Kfz > 3,5t hzG",9452.0,12176.0,12880.0,12582.0,10560.0,3928.0,1375.0,Messung,
A01,37.81,HASt St. Christophen,754,gesamt,gesamt,"Kfz <= 3,5t hzG",71521.0,66621.0,59800.0,63433.0,80361.0,85238.0,81335.0,"32,3% Tage geschätzt",
A01,44.3,Sichelbach,403,St. Christophen - Böheimkirchen,Staatsgrenze Walserberg,Kfz,36379.0,36457.0,37420.0,35569.0,37996.0,34236.0,38627.0,"3,2% Tage geschätzt",
A01,44.3,Sichelbach,403,St. Christophen - Böheimkirchen,Staatsgrenze Walserberg,"Kfz > 3,5t hzG",4705.0,6161.0,8100.0,6303.0,4241.0,1437.0,781.0,Messung,
A01,44.3,Sichelbach,403,St. Christophen - Böheimkirchen,Staatsgrenze Walserberg,"Kfz <= 3,5t hzG",31674.0,30296.0,29320.0,29266.0,33755.0,32799.0,37846.0,"3,2% Tage geschätzt",
A01,44.3,Sichelbach,403,Böheimkirchen - St. Christophen,Wien/Auhof,Kfz,43394.0,42139.0,35035.0,40795.0,51320.0,51657.0,39965.0,"3,2% Tage geschätzt",
A01,44.3,Sichelbach,403,Böheimkirchen - St. Christophen,Wien/Auhof,"Kfz > 3,5t hzG",4976.0,6331.0,5101.0,6622.0,6559.0,2510.0,602.0,Messung,
A01,44.3,Sichelbach,403,Böheimkirchen - St. Christophen,Wien/Auhof,"Kfz <= 3,5t hzG",38418.0,35808.0,29934.0,34173.0,44761.0,49147.0,39363.0,"3,2% Tage geschätzt",
A01,44.3,Sichelbach,403,gesamt,gesamt,Kfz,79773.0,78596.0,72455.0,76364.0,89316.0,85893.0,78592.0,"3,2% Tage geschätzt",
A01,44.3,Sichelbach,403,gesamt,gesamt,"Kfz > 3,5t hzG",9681.0,12492.0,13201.0,12925.0,10800.0,3947.0,1383.0,Messung,
