Time of calculation: 20211213-152221; value of objective: 3388052.5320153246;  acc=3000;  ec=0.25;  e_tax=0.15;  cfix=150000;  cvar=10000;  eta=0.011;  mu=0.4;  i=segment_id,dir,type_ID,POI_ID,traffic_flow,traffic_flow_0,traffic_flow_1,energy_demand,energy_demand_0,energy_demand_1,dist_along_segment,pois_type,pYi_dir,pYi_dir_0,pYi_dir_1,pE_charged,pE_charged_0,pE_charged_1,pE_input,pE_input_0,pE_input_1,pE_output,pE_output_0,pE_output_1,pXi
0.0,2.0,0.0,0.0,26540.636112053,13243.0239038645,13297.6122081885,60657.5700465436,0.0,60657.5700465436,0.0,link,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.68253157433543,0.0,18.68253157433543,0
0.0,2.0,7.0,1.0,26594.7769799282,13269.4415749127,13325.3354050155,28456.34425905232,635.49550854442,27820.8487505079,239.715824101164,ra,1.0,1.0,0.0,21.971620888270998,0.19573261663168137,21.775888271639317,13.207066856482886,0.0,13.207066856482886,0.0,0.0,0.0,1
0.0,1.0,6.0,2.0,25114.4899764858,0.0,25114.4899764858,15564.5840298711,0.0,15564.5840298711,15074.9810236044,ra,0.0,0.0,-0.0,0.0,0.0,0.0,8.413174975282587,0.0,8.413174975282587,13.207066856482886,0.0,13.207066856482886,0
0.0,0.0,5.0,3.0,25141.6151508612,25141.6151508612,0.0,61114.2514175474,61114.2514175474,0.0,15258.386608098,ra,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.823189436604597,18.823189436604597,0.0,0
0.0,2.0,2.0,4.0,45891.0713847726,24132.5354848012,21758.5358999714,73638.515983494,46323.0128169921,27315.5031665019,24427.462160298,ra,0.0,0.0,-0.0,0.0,0.0,0.0,18.823189436604597,18.823189436604597,0.0,41.50385235952075,33.09067738423816,8.413174975282587,0
0.0,0.0,0.0,5.0,21104.2634691175,21104.2634691175,0.0,40859.7699453428,40859.7699453428,0.0,33429.3595873882,ra,0.0,-0.0,0.0,0.0,0.0,0.0,33.09067738423816,33.09067738423816,0.0,45.67548652740375,45.67548652740375,0.0,0
0.0,1.0,1.0,6.0,14423.8235603641,0.0,14423.8235603641,70917.9365170326,0.0,70917.9365170326,33802.1690359586,ra,3.0,0.0,3.0,58.53479894919904,0.0,58.53479894919904,36.692074501953,0.0,36.692074501953,0.0,0.0,0.0,1
0.0,0.0,3.0,7.0,13268.990914294,13268.990914294,0.0,43795.1979929416,43795.1979929416,0.0,46647.5352997916,ra,0.0,-0.0,0.0,0.0,0.0,0.0,45.67548652740375,45.67548652740375,0.0,59.16440750922976,59.16440750922976,0.0,0
0.0,1.0,4.0,8.0,13561.1425356073,0.0,13561.1425356073,3390.58285704174,0.0,3390.58285704174,46771.544645065,ra,0.0,0.0,-0.0,0.0,0.0,0.0,35.64777498198415,0.0,35.64777498198415,36.692074501953,0.0,36.692074501953,0
0.0,1.0,8.0,9.0,12294.3580875554,0.0,12294.3580875554,14272.1885319231,0.0,14272.1885319231,55124.5569541094,ra,0.0,0.0,-0.0,0.0,0.0,0.0,31.25194091415183,0.0,31.25194091415183,35.64777498198415,0.0,35.64777498198415,0
0.0,1.0,9.0,10.0,8886.15477288434,0.0,8886.15477288434,27047.5291294031,0.0,27047.5291294031,64455.5697412472,ra,0.0,0.0,-0.0,0.0,0.0,0.0,22.921301942295678,0.0,22.921301942295678,31.25194091415183,0.0,31.25194091415183,0
0.0,0.0,10.0,11.0,8766.58015528797,8766.58015528797,0.0,43004.2931513167,43004.2931513167,0.0,64479.8050962007,ra,0.0,-0.0,0.0,0.0,0.0,0.0,59.16440750922976,59.16440750922976,0.0,72.4097297998353,72.4097297998353,0.0,0
0.0,1.0,11.0,12.0,5594.60627343411,0.0,5594.60627343411,26086.2651756118,0.0,26086.2651756118,68504.6013106114,ra,0.0,0.0,-0.0,0.0,0.0,0.0,14.886732268207243,0.0,14.886732268207243,22.921301942295678,0.0,22.921301942295678,0
0.0,0.0,12.0,13.0,4553.08388931748,4553.08388931748,0.0,16089.3958499465,16089.3958499465,0.0,79329.1374904099,ra,0.0,-0.0,0.0,0.0,0.0,0.0,72.4097297998353,72.4097297998353,0.0,77.36526372161883,77.36526372161883,0.0,0
0.0,2.0,13.0,14.0,7895.539602766939,4645.32330643337,3250.21629633357,26378.19060066929,20773.2358162279,5604.95478444139,104473.71241617,ra,3.0,3.0,0.0,150.0,83.76342035301703,66.23657964698296,156.76224956320107,77.36526372161883,79.39698584158225,14.886732268207243,0.0,14.886732268207243,1
0.0,1.0,14.0,15.0,9099.18315895303,0.0,9099.18315895303,21051.509335061,0.0,21051.509335061,126194.353864499,ra,0.0,0.0,-0.0,0.0,0.0,0.0,72.91312096638346,0.0,72.91312096638346,79.39698584158225,0.0,79.39698584158225,0
0.0,2.0,15.0,16.0,19815.36822147166,9562.72950758806,10252.6387138836,63216.182923695196,41539.1007178494,21677.0822058458,133409.21035476,ra,0.0,0.0,-0.0,0.0,0.0,0.0,66.23657964698296,0.0,66.23657964698296,85.70716398748107,12.794043021097615,72.91312096638346,0
0.0,1.0,16.0,17.0,10262.4933483887,0.0,10262.4933483887,39352.1538815934,0.0,39352.1538815934,135061.705646886,ra,0.0,0.0,-0.0,0.0,0.0,0.0,54.1161162514522,0.0,54.1161162514522,66.23657964698296,0.0,66.23657964698296,0
0.0,0.0,17.0,18.0,9337.28228712366,9337.28228712366,0.0,3755.83362001816,3755.83362001816,0.0,135400.125089297,ra,0.0,-0.0,0.0,0.0,0.0,0.0,12.794043021097615,12.794043021097615,0.0,13.950839776063209,13.950839776063209,0.0,0
0.0,0.0,18.0,19.0,10716.8663243198,10716.8663243198,0.0,29722.6525482398,29722.6525482398,0.0,150383.983031074,ra,0.0,-0.0,0.0,0.0,0.0,0.0,13.950839776063209,13.950839776063209,0.0,23.105416760921067,23.105416760921067,0.0,0
0.0,1.0,19.0,20.0,16313.2106970416,0.0,16313.2106970416,29955.5905739685,0.0,29955.5905739685,165563.400922083,ra,0.0,0.0,-0.0,0.0,0.0,0.0,44.889794354669895,0.0,44.889794354669895,54.1161162514522,0.0,54.1161162514522,0
0.0,0.0,20.0,21.0,15912.8996761482,15912.8996761482,0.0,38414.7758994518,38414.7758994518,0.0,165570.707353275,ra,0.0,-0.0,0.0,0.0,0.0,0.0,23.105416760921067,23.105416760921067,0.0,34.93716773795222,34.93716773795222,0.0,0
0.0,2.0,21.0,22.0,38420.413170467305,19234.6634945469,19185.7496759204,73748.9776309411,27248.6286224276,46500.3490085135,173065.413799776,ra,2.0,2.0,0.0,95.10658151441741,43.32974535365992,51.77683616075749,117.28169075875745,34.93716773795222,82.34452302080523,44.889794354669895,0.0,44.889794354669895,1
0.0,1.0,22.0,23.0,21229.4573799075,0.0,21229.4573799075,60192.24943524,0.0,60192.24943524,176940.22069629,ra,0.0,0.0,-0.0,0.0,0.0,0.0,63.805310194751314,0.0,63.805310194751314,82.34452302080523,0.0,82.34452302080523,0
0.0,1.0,23.0,24.0,26278.9329143679,0.0,26278.9329143679,638.143813778497,0.0,638.143813778497,182868.692917964,ra,0.0,0.0,-0.0,0.0,0.0,0.0,63.60876190010754,0.0,63.60876190010754,63.805310194751314,0.0,63.805310194751314,0
0.0,0.0,24.0,25.0,28249.0185087145,28249.0185087145,0.0,74447.880017493,74447.880017493,0.0,188487.641131617,ra,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.929947045387845,22.929947045387845,0.0,0
0.0,2.0,0.0,26.0,50605.7308716768,25638.9023938735,24966.8284778033,29755.4203585491,29755.4203585491,0.0,194059.964946131,link,0.0,0.0,0.0,0.0,0.0,0.0,86.53870894549539,22.929947045387845,63.60876190010754,95.70337841592851,32.09461651582097,63.60876190010754,0
1.0,2.0,0.0,27.0,41635.2696746832,21021.6267553003,20613.6429193829,795.523730019109,0.0,795.523730019109,0.0,link,0.0,0.0,0.0,0.0,0.0,0.0,78.86419613856954,58.49407979244538,20.370116346124156,79.10921744741543,58.49407979244538,20.61513765497004,0
1.0,0.0,26.0,28.0,20821.0305816615,20821.0305816615,0.0,26087.181633621,26087.181633621,0.0,6216.47578134488,ra,0.0,-0.0,0.0,0.0,0.0,0.0,58.49407979244538,58.49407979244538,0.0,66.52893173560065,66.52893173560065,0.0,0
1.0,2.0,25.0,29.0,39859.9435983602,20128.7100274165,19731.2335709437,19439.182376750672,8227.15979420447,11212.0225825462,8218.21591932416,ra,0.0,-0.0,0.0,0.0,0.0,0.0,83.44574512630058,66.52893173560065,16.916813390699925,89.43301329833977,69.06289695221562,20.370116346124156,0
1.0,1.0,27.0,30.0,15080.1720482802,0.0,15080.1720482802,3332.35606478557,0.0,3332.35606478557,14028.2328867426,ra,0.0,0.0,-0.0,0.0,0.0,0.0,15.89044772274597,0.0,15.89044772274597,16.916813390699925,0.0,16.916813390699925,0
1.0,0.0,28.0,31.0,15021.9786197919,15021.9786197919,0.0,28536.8531280977,28536.8531280977,0.0,16747.0640478161,ra,0.0,-0.0,0.0,0.0,0.0,0.0,69.06289695221562,69.06289695221562,0.0,77.85224771566973,77.85224771566973,0.0,0
1.0,2.0,29.0,32.0,29629.2702066633,14994.1517039878,14635.1185026755,494.222241173728,494.222241173728,0.0,16911.7407621753,ra,0.0,-0.0,0.0,0.0,0.0,0.0,93.74269543841571,77.85224771566973,15.89044772274597,93.89491588869721,78.00446816595124,15.89044772274597,0
1.0,1.0,32.0,33.0,11591.4382904028,0.0,11591.4382904028,9333.62015084538,0.0,9333.62015084538,22379.5420754944,ra,0.0,0.0,-0.0,0.0,0.0,0.0,13.015692716285592,0.0,13.015692716285592,15.89044772274597,0.0,15.89044772274597,0
1.0,0.0,31.0,34.0,12155.2376344337,12155.2376344337,0.0,15349.9906071111,15349.9906071111,0.0,22507.4968336771,ra,0.0,-0.0,0.0,0.0,0.0,0.0,78.00446816595124,78.00446816595124,0.0,82.73226527294145,82.73226527294145,0.0,0
1.0,1.0,33.0,35.0,11308.2144668397,0.0,11308.2144668397,2721.62194213134,0.0,2721.62194213134,23570.4687905334,ra,0.0,0.0,-0.0,0.0,0.0,0.0,12.177433158109139,0.0,12.177433158109139,13.015692716285592,0.0,13.015692716285592,0
1.0,2.0,36.0,36.0,23126.816645439998,11846.3351177034,11280.4815277366,26906.4332634277,12385.1998760562,14521.2333873715,27721.2649615329,ra,0.0,0.0,-0.0,0.0,0.0,0.0,90.43715854774017,82.73226527294145,7.704893274798716,98.7243399928759,86.54690683476676,12.177433158109139,0
1.0,1.0,35.0,37.0,11337.2619320883,0.0,11337.2619320883,19841.8756793837,0.0,19841.8756793837,29194.6309655969,ra,0.0,0.0,-0.0,0.0,0.0,0.0,1.5935955655485365,0.0,1.5935955655485365,7.704893274798716,0.0,7.704893274798716,0
1.0,0.0,34.0,38.0,11885.5265358471,11885.5265358471,0.0,4170.09621995463,4170.09621995463,0.0,29478.4736802298,ra,0.0,-0.0,0.0,0.0,0.0,0.0,86.54690683476676,86.54690683476676,0.0,87.83129647051277,87.83129647051277,0.0,0
1.0,0.0,38.0,39.0,11947.1636186313,11947.1636186313,0.0,7352.58765796217,7352.58765796217,0.0,32563.1836153915,ra,0.0,-0.0,0.0,0.0,0.0,0.0,87.83129647051277,87.83129647051277,0.0,90.09589346916513,90.09589346916513,0.0,0
1.0,0.0,39.0,40.0,11960.1701828351,11960.1701828351,0.0,1956.83597729699,1956.83597729699,0.0,33381.7233696118,ra,0.0,-0.0,0.0,0.0,0.0,0.0,90.09589346916513,90.09589346916513,0.0,90.6985989501726,90.6985989501726,0.0,0
1.0,2.0,40.0,41.0,23460.935326572,11970.3853891252,11490.5499374468,35373.36563433738,1726.60343297688,33646.7622013605,34103.2604930604,ra,2.0,2.0,0.0,99.99999999999999,91.23039280752948,8.769607192470499,90.6985989501726,90.6985989501726,0.0,1.5935955655485365,0.0,1.5935955655485365,1
