,nb_cs,nb_poles,costs,non_covered_energy,perc_not_charged,datetime_of_calculation
0,93,1233,74324100,8548.53046310456,0.0597199786865325,2022-01-16 13:39:49.940445
1,68,1219,73391600,8060.13488766788,0.0563080503461516,2022-01-16 13:45:33.446942
2,64,1224,73676800,7934.32119327492,0.0554291166884838,2022-01-16 13:53:29.781771
3,65,1222,73560500,7858.19083092293,0.0548972704680508,2022-01-16 14:03:44.200025
4,58,1225,73714600,7858.19083082055,0.0548972704673356,2022-01-16 14:16:44.859368
5,68,1225,73751600,7858.19083103145,0.0548972704688089,2022-01-16 14:32:37.071557
6,49,1221,73441300,7780.54268335676,0.0543548210098995,2022-01-16 14:51:17.639559
7,46,1223,73550200,7780.54268128725,0.0543548209954419,2022-01-16 15:13:20.837703
8,64,1244,74876800,7780.54268342757,0.0543548210103942,2022-01-16 15:38:26.380922
9,61,1245,74925700,7780.54268314101,0.0543548210083923,2022-01-16 16:06:45.247855
10,56,1224,73647200,7780.54268322933,0.0543548210090093,2022-01-16 16:41:51.696175
11,57,1240,74610900,7780.54268305622,0.0543548210077999,2022-01-16 17:25:19.274402
12,56,1240,74607200,7780.54268342358,0.0543548210103663,2022-01-16 18:15:24.077316
13,41,1246,74911700,7780.54268049308,0.0543548209898939,2022-01-16 19:13:57.089327
