,init_scenario,scenario_name,nb_cs,nb_poles,costs,non_covered_energy,perc_not_charged,datetime_of_calculation
0,Gradual Development,a=0.83,54.0,679.0,82113000.0,6477.469994,0.05442530434556918,2022-02-12 18:07:03.734744
1,Gradual Development,a=0.69,54.0,564.0,67508000.0,5384.886208000001,0.05442531542789877,2022-02-12 18:21:14.078661
2,Gradual Development,range=660,55.0,818.0,99806000.0,7804.1793099999995,0.05442529561273712,2022-02-12 18:39:07.561185
3,Gradual Development,1=660,54.0,552.0,65984000.0,7804.1793099999995,0.05442529561273712,2022-02-12 18:53:09.874404
