,scenario,dist_range,nb_cs,nb_poles,costs,non_covered_energy,perc_not_charged,datetime_of_calculation
0,TC,1100.0,38.0,344.0,452080000000.0,6372.510987999998,0.05442529902518713,2022-01-28 11:42:41.253414
1,TC,1200.0,38.0,344.0,452080000000.0,6372.510987999998,0.05442529902518713,2022-01-28 12:24:32.489452
2,TC,1300.0,38.0,344.0,452080000000.0,6372.510987999998,0.05442529902518713,2022-01-28 12:53:07.956660
3,TC,1400.0,38.0,344.0,452080000000.0,6372.510987999998,0.05442529902518713,2022-01-28 13:24:28.268202
