,epsilon,nb_cs,nb_poles,costs,non_covered_energy,perc_not_charged,datetime_of_calculation
0,10.0,42.0,160.0,22000000.0,1558.127129,0.054425321574836906,2022-01-31 13:05:13.377574
1,20.0,42.0,315.0,41685000.0,3116.2539589999997,0.0544253258581804,2022-01-31 13:23:55.071900
2,30.0,42.0,471.0,61497000.0,4674.377448,0.054425282048706766,2022-01-31 13:52:26.135431
3,40.0,43.0,626.0,81222000.0,6232.504637,0.054425297206873995,2022-01-31 14:15:38.197244
4,50.0,43.0,783.0,101161000.0,7790.632566999997,0.05442530691581826,2022-01-31 14:35:31.593135
5,60.0,44.0,938.0,120886000.0,9348.760875999998,0.05442531876331425,2022-01-31 14:54:40.679014
6,70.0,47.0,1095.0,140945000.0,10906.885884999998,0.05442530858617051,2022-01-31 15:12:55.446086
