,range,nb_cs,nb_poles,costs,non_covered_energy,perc_not_charged,datetime_of_calculation
0,500.0,62.0,1230.0,74029400.0,7858.190831042928,0.05489727046888907,2022-01-17 12:12:16.984620
1,600.0,58.0,1219.0,73354600.0,7858.190830861875,0.054897270467624236,2022-01-17 12:28:35.424677
