,epsilon,nb_cs,nb_poles,costs,non_covered_energy,perc_not_charged,datetime_of_calculation
0,10,43,160,22040000,1558.127129,0.054425321574837,2022-02-02 12:59:34.242049
1,20,43,315,41725000,3116.253959,0.05442532585818,2022-02-02 13:11:37.361748
2,30,44,472,61704000,4674.377448,0.054425282048707,2022-02-02 13:22:41.882968
3,40,44,627,81389000,6232.504637,0.054425297206874,2022-02-02 13:33:55.984024
4,50,44,784,101328000,7790.632567,0.054425306915818,2022-02-02 13:45:06.699145
5,60,44,940,121140000,9348.760876,0.054425318763314,2022-02-02 13:56:23.638813
6,70,46,1098,141286000,10906.885885,0.054425308586171,2022-02-02 14:08:10.025535
7,80,49,1254,161218000,12465.011925,0.054425309494695,2022-02-02 15:09:18.692034
0,90,54,1410,181230000,14023.137654,0.054425303502309,2022-02-02 16:28:07.035739
0,100,56,1567,201249000,15648.973183,0.054661811858821,2022-02-03 08:41:20.065875
