,epsilon,nb_cs,nb_poles,costs,non_covered_energy,perc_not_charged,datetime_of_calculation
0,10.0,38.0,161.0,21967000.0,1558.127129,0.054425321574836906,2022-01-30 14:31:19.772749
1,20.0,38.0,315.0,41525000.0,3116.2539589999997,0.0544253258581804,2022-01-30 15:05:52.525816
2,30.0,38.0,471.0,61337000.0,4674.377448,0.054425282048706766,2022-01-30 15:25:45.084920
3,40.0,40.0,626.0,81102000.0,6232.504637,0.054425297206873995,2022-01-30 15:58:16.865639
4,50.0,41.0,783.0,101081000.0,7790.632566999997,0.05442530691581826,2022-01-30 16:20:06.527372
5,60.0,42.0,938.0,120806000.0,9348.760875999998,0.05442531876331425,2022-01-30 16:46:22.484333
6,70.0,45.0,1095.0,140865000.0,10906.885884999998,0.05442530858617051,2022-01-30 17:06:27.264616
7,80.0,48.0,1250.0,160670000.0,12465.011925,0.05442530949469508,2022-01-30 17:29:12.810028
