,epsilon,nb_cs,nb_poles,costs,non_covered_energy,perc_not_charged,datetime_of_calculation
0,10.0,39.0,335.0,24005000.0,1558.127129,0.054425321574836906,2022-01-25 15:58:13.651250
1,20.0,39.0,665.0,46115000.0,3116.2539589999997,0.0544253258581804,2022-01-25 16:14:46.966492
2,30.0,39.0,996.0,68292000.0,4674.377448,0.054425282048706766,2022-01-25 16:31:29.369854
3,40.0,41.0,1325.0,90415000.0,6232.504637,0.054425297206873995,2022-01-25 16:48:33.869574
4,50.0,41.0,1656.0,112592000.0,7790.632566999997,0.05442530691581826,2022-01-25 17:05:36.956614
5,60.0,43.0,1987.0,134849000.0,9348.760875999998,0.05442531876331425,2022-01-25 17:22:57.115015
6,70.0,47.0,2317.0,157119000.0,10906.885884999998,0.05442530858617051,2022-01-25 17:59:21.652949
7,80.0,51.0,2647.0,179389000.0,12465.011925,0.05442530949469508,2022-01-25 18:17:33.647638
