,scenario,dist_range,nb_cs,nb_poles,costs,non_covered_energy,perc_not_charged,datetime_of_calculation
0,TC,200,56,438,57866000,6372.510988,0.054425299025187,2022-02-01 13:38:55.793243
1,TC,300,45,438,57426000,6372.510988,0.054425299025187,2022-02-01 13:49:11.221019
2,TC,400,44,438,57386000,6372.510988,0.054425299025187,2022-02-01 14:01:46.731207
3,TC,500,42,438,57306000,6372.510988,0.054425299025187,2022-02-01 14:21:07.703502
4,TC,600,40,438,57226000,6372.510988,0.054425299025187,2022-02-01 14:41:20.776716
5,TC,700,39,438,57186000,6372.510988,0.054425299025187,2022-02-01 15:03:57.512995
6,TC,800,39,438,57186000,6372.510988,0.054425299025187,2022-02-01 15:37:49.036455
7,TC,900,39,438,57186000,6372.510988,0.054425299025187,2022-02-01 16:03:02.814882
8,TC,1000,39,438,57186000,6372.510988,0.054425299025187,2022-02-01 16:27:28.238041
9,TC,1100,39,438,57186000,6372.510988,0.054425299025187,2022-02-01 16:55:56.186345
10,TC,1200,39,438,57186000,6372.510988,0.054425299025187,2022-02-01 17:25:56.192968
11,TC,1300,39,438,57186000,6372.510988,0.054425299025187,2022-02-01 17:52:57.214256
12,TC,1400,39,438,57186000,6372.510988,0.054425299025187,2022-02-01 18:35:08.795958
