,scenario,dist_range,nb_cs,nb_poles,costs,non_covered_energy,perc_not_charged,datetime_of_calculation
0,TC,200.0,55.0,438.0,57826000.0,6372.510987999998,0.05442529902518713,2022-02-03 08:52:19.256576
1,TC,300.0,46.0,437.0,57339000.0,6372.510987999998,0.05442529902518713,2022-02-03 09:00:34.711870
2,TC,400.0,44.0,438.0,57386000.0,6372.510987999998,0.05442529902518713,2022-02-03 09:10:51.037965
3,TC,500.0,42.0,438.0,57306000.0,6372.510987999998,0.05442529902518713,2022-02-03 09:24:55.338018
4,TC,600.0,40.0,438.0,57226000.0,6372.510987999998,0.05442529902518713,2022-02-03 09:40:46.816324
5,TC,700.0,39.0,438.0,57186000.0,6372.510987999998,0.05442529902518713,2022-02-03 10:00:11.414203
6,TC,800.0,39.0,438.0,57186000.0,6372.510987999998,0.05442529902518713,2022-02-03 10:21:40.353250
7,TC,900.0,39.0,438.0,57186000.0,6372.510987999998,0.05442529902518713,2022-02-03 10:43:30.863175
8,TC,1000.0,39.0,438.0,57186000.0,6372.510987999998,0.05442529902518713,2022-02-03 11:07:00.728763
9,TC,1100.0,39.0,438.0,57186000.0,6372.510987999998,0.05442529902518713,2022-02-03 11:32:45.826747
